algorithm,normalized_utilization,acceptance_ratio,num_samples,num_successful
gpfp_asap_block,0.1,1.0,20,20
gpfp_asap_block,0.2,1.0,20,20
gpfp_asap_block,0.3,1.0,20,20
gpfp_asap_block,0.4,1.0,20,20
gpfp_asap_block,0.5,0.85,20,17
gpfp_asap_block,0.6,0.9,20,18
gpfp_asap_block,0.7,0.7,20,14
gpfp_asap_block,0.8,0.3,20,6
gpfp_asap_block,0.9,0.05,20,1
gpfp_asap_block,1.0,0.1,20,2
gpfp_asap_nonblock,0.1,1.0,20,20
gpfp_asap_nonblock,0.2,1.0,20,20
gpfp_asap_nonblock,0.3,1.0,20,20
gpfp_asap_nonblock,0.4,1.0,20,20
gpfp_asap_nonblock,0.5,0.85,20,17
gpfp_asap_nonblock,0.6,0.95,20,19
gpfp_asap_nonblock,0.7,0.7,20,14
gpfp_asap_nonblock,0.8,0.4,20,8
gpfp_asap_nonblock,0.9,0.05,20,1
gpfp_asap_nonblock,1.0,0.1,20,2
gpfp_asap_sync,0.1,1.0,20,20
gpfp_asap_sync,0.2,1.0,20,20
gpfp_asap_sync,0.3,1.0,20,20
gpfp_asap_sync,0.4,1.0,20,20
gpfp_asap_sync,0.5,0.9,20,18
gpfp_asap_sync,0.6,0.95,20,19
gpfp_asap_sync,0.7,0.85,20,17
gpfp_asap_sync,0.8,0.45,20,9
gpfp_asap_sync,0.9,0.2,20,4
gpfp_asap_sync,1.0,0.2,20,4
gpfp_alap_block,0.1,0.0,20,0
gpfp_alap_block,0.2,0.0,20,0
gpfp_alap_block,0.3,0.0,20,0
gpfp_alap_block,0.4,0.0,20,0
gpfp_alap_block,0.5,0.0,20,0
gpfp_alap_block,0.6,0.0,20,0
gpfp_alap_block,0.7,0.0,20,0
gpfp_alap_block,0.8,0.0,20,0
gpfp_alap_block,0.9,0.0,20,0
gpfp_alap_block,1.0,0.0,20,0
gpfp_alap_nonblock,0.1,0.0,20,0
gpfp_alap_nonblock,0.2,0.0,20,0
gpfp_alap_nonblock,0.3,0.0,20,0
gpfp_alap_nonblock,0.4,0.0,20,0
gpfp_alap_nonblock,0.5,0.0,20,0
gpfp_alap_nonblock,0.6,0.0,20,0
gpfp_alap_nonblock,0.7,0.0,20,0
gpfp_alap_nonblock,0.8,0.0,20,0
gpfp_alap_nonblock,0.9,0.0,20,0
gpfp_alap_nonblock,1.0,0.0,20,0
gpfp_alap_sync,0.1,0.0,20,0
gpfp_alap_sync,0.2,0.0,20,0
gpfp_alap_sync,0.3,0.0,20,0
gpfp_alap_sync,0.4,0.0,20,0
gpfp_alap_sync,0.5,0.0,20,0
gpfp_alap_sync,0.6,0.0,20,0
gpfp_alap_sync,0.7,0.0,20,0
gpfp_alap_sync,0.8,0.0,20,0
gpfp_alap_sync,0.9,0.0,20,0
gpfp_alap_sync,1.0,0.0,20,0
gpfp_st_block,0.1,1.0,20,20
gpfp_st_block,0.2,1.0,20,20
gpfp_st_block,0.3,1.0,20,20
gpfp_st_block,0.4,1.0,20,20
gpfp_st_block,0.5,0.9,20,18
gpfp_st_block,0.6,0.9,20,18
gpfp_st_block,0.7,0.8,20,16
gpfp_st_block,0.8,0.35,20,7
gpfp_st_block,0.9,0.15,20,3
gpfp_st_block,1.0,0.15,20,3
gpfp_st_nonblock,0.1,1.0,20,20
gpfp_st_nonblock,0.2,1.0,20,20
gpfp_st_nonblock,0.3,1.0,20,20
gpfp_st_nonblock,0.4,1.0,20,20
gpfp_st_nonblock,0.5,0.9,20,18
gpfp_st_nonblock,0.6,0.95,20,19
gpfp_st_nonblock,0.7,0.8,20,16
gpfp_st_nonblock,0.8,0.5,20,10
gpfp_st_nonblock,0.9,0.2,20,4
gpfp_st_nonblock,1.0,0.15,20,3
gpfp_st_sync,0.1,1.0,20,20
gpfp_st_sync,0.2,1.0,20,20
gpfp_st_sync,0.3,1.0,20,20
gpfp_st_sync,0.4,1.0,20,20
gpfp_st_sync,0.5,0.8,20,16
gpfp_st_sync,0.6,0.75,20,15
gpfp_st_sync,0.7,0.7,20,14
gpfp_st_sync,0.8,0.25,20,5
gpfp_st_sync,0.9,0.1,20,2
gpfp_st_sync,1.0,0.15,20,3
