algorithm,normalized_utilization,acceptance_ratio,num_samples,num_successful
gpfp_tie,0.1,1.0,10,10
gpfp_tie,0.2,0.9,10,9
gpfp_tie,0.30000000000000004,0.6,10,6
gpfp_tie,0.4,0.1,10,1
gpfp_tie,0.5,0.0,10,0
gpfp_tie,0.6,0.0,10,0
gpfp_tie,0.7000000000000001,0.0,10,0
gpfp_tie,0.8,0.0,10,0
gpfp_tie,0.9,0.0,10,0
gpfp_tie,1.0,0.0,10,0
gpfp_tgf,0.1,1.0,10,10
gpfp_tgf,0.2,0.9,10,9
gpfp_tgf,0.30000000000000004,0.6,10,6
gpfp_tgf,0.4,0.1,10,1
gpfp_tgf,0.5,0.0,10,0
gpfp_tgf,0.6,0.0,10,0
gpfp_tgf,0.7000000000000001,0.0,10,0
gpfp_tgf,0.8,0.0,10,0
gpfp_tgf,0.9,0.0,10,0
gpfp_tgf,1.0,0.0,10,0
gpfp_btie,0.1,1.0,10,10
gpfp_btie,0.2,0.9,10,9
gpfp_btie,0.30000000000000004,0.6,10,6
gpfp_btie,0.4,0.1,10,1
gpfp_btie,0.5,0.0,10,0
gpfp_btie,0.6,0.0,10,0
gpfp_btie,0.7000000000000001,0.0,10,0
gpfp_btie,0.8,0.0,10,0
gpfp_btie,0.9,0.0,10,0
gpfp_btie,1.0,0.0,10,0
