plot,cell_id,taskset_id,utilization,exact_e0,variant,x,y,outcome
certification_ratio,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,CW_THETA_CW,1/5,1,COMPLETED
certification_ratio_e0,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,CW_THETA_CW,0.0,1,COMPLETED
runtime,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,CW_THETA_CW,1/5,0.638396299,COMPLETED
timeout_rate,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,CW_THETA_CW,1/5,0,COMPLETED
certification_ratio,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,LOC_THETA_LOC,1/5,1,COMPLETED
certification_ratio_e0,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,LOC_THETA_LOC,0.0,1,COMPLETED
runtime,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,LOC_THETA_LOC,1/5,0.628779754,COMPLETED
timeout_rate,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,1/5,0,LOC_THETA_LOC,1/5,0,COMPLETED
loc_vs_cw_scatter,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,5,5,EQUAL
response_reduction_distribution,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,2,2,EQUAL
response_reduction_distribution,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,3,3,EQUAL
response_reduction_distribution,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,2,2,EQUAL
response_reduction_distribution,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,15,15,EQUAL
response_reduction_distribution,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,9,9,EQUAL
response_reduction_distribution,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,,0,LOC_THETA_LOC,16,16,EQUAL
