analysis_id,cell_id,taskset_id,exact_e0,analysis_variant,task_id,priority_rank,C,D,T,P,D_over_T,task_solver_status,task_certification_status,candidate_response_time,closing_w,witness_h,checked_w_count,checked_h_count,checked_q_count,envelope_call_count,failure_reason,carry_in_vector_hash
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,0,0,4,44,47,9300000000000001/200000000000000000000,44/47,CANDIDATE_FOUND,CERTIFIED,5,5,1,2,3,6,6,,
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,1,1,1,19,64,279/500000,19/64,CANDIDATE_FOUND,CERTIFIED,2,2,1,2,3,3,3,,49b2f9e286ed39878dec9c6f7b15904bc4e39f47c1d75546f25258b6a8b1d312
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,2,2,2,28,68,9300000000000001/200000000000000000000,7/17,CANDIDATE_FOUND,CERTIFIED,3,3,1,2,3,4,4,,bc0cb1ff8507bcc733a2d641131929b9006723ac4ea9a011e862287577620d92
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,3,3,1,66,72,9300000000000001/200000000000000000000,11/12,CANDIDATE_FOUND,CERTIFIED,2,2,1,2,3,3,3,,319dbb173619139adf84fd4fca5417d603ae89a9ba3ae70c3ef1f403f4629ceb
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,4,4,13,27,74,9300000000000001/200000000000000000000,27/74,CANDIDATE_FOUND,CERTIFIED,15,15,1,3,3,16,16,,6cde6d5d42c4eed33ab8be6c5dd5541789827ac61dd8d21515a0db507b857402
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,5,5,6,30,79,9300000000000001/200000000000000000000,30/79,CANDIDATE_FOUND,CERTIFIED,9,9,1,4,3,10,10,,b306bca78eb84c5bedc1accbe00e93518b907a46e76c73f0559045aea989c21a
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,6,6,11,23,82,279/400000,23/82,CANDIDATE_FOUND,CERTIFIED,16,16,1,6,3,17,17,,a5aa85748d4e1a06e03e8de7000979395f49c928c58bdc1c71e9803af6673d4a
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,7,7,1,31,100,9300000000000001/200000000000000000000,31/100,CANDIDATE_FOUND,CERTIFIED,9,9,1,9,3,10,10,,6a0313e6290f0bc3cf76cd933bbdf2a3bc235a4ab909da0b77ac32e856252330
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,8,8,31,50,153,279/400000,50/153,CANDIDATE_FOUND,CERTIFIED,39,39,1,9,3,40,40,,f438386dd8c50cdb3308dfb725f75b13389542c22ec28ac5168348951c9188a0
6768f7b78e082848e57796d6b7d8144455464245c7ab861e54e05921d0a3b7e3,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,CW_THETA_CW,9,9,11,122,191,9300000000000001/200000000000000000000,122/191,CANDIDATE_FOUND,CERTIFIED,25,25,1,15,3,26,26,,955bdc53b9edf3f3b26d57a5fc1811a2e59d1d3b4fe472fc8558ba29ccb23431
bc60771237a2345fdb3dbbbd72b60000c3be2e64f1b68553a401633fa1e45b6e,ed9006e44380fd9df5d30c8de40c403169a8a3b5004f0a0b8602ce736ee1749e,v93-21471487b7-t00000-56e20a8a37c7,0,LOC_THETA_LOC,0,0,4,44,47,9300000000000001/200000000000000000000,44/47,CANDIDATE_FOUND,CERTIFIED,5,5,1,2,3,6,6,,
