cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,normalized_reduction,status,dominance_expected
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,0,0,3,3,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,1,1,2,2,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,2,2,9,9,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,3,3,9,9,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,4,4,10,10,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,5,5,16,16,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,6,6,39,39,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,7,7,24,24,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,8,8,29,29,0,0.0,EQUAL,True
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,9,9,44,44,0,0.0,EQUAL,True
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_D_VS_CW_D,CW_D,LOC_D,0,0,4,4,0,0.0,EQUAL,True
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_D_VS_CW_D,CW_D,LOC_D,1,1,3,3,0,0.0,EQUAL,True
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_D_VS_CW_D,CW_D,LOC_D,2,2,10,10,0,0.0,EQUAL,True
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_D_VS_CW_D,CW_D,LOC_D,3,3,10,10,0,0.0,EQUAL,True
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_D_VS_CW_D,CW_D,LOC_D,4,4,11,11,0,0.0,EQUAL,True
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_D_VS_CW_D,CW_D,LOC_D,5,5,17,17,0,0.0,EQUAL,True
