cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,dominance_expected,common_candidate_task_count,tighter_count,equal_count,violation_count,mean_reduction,median_reduction,max_reduction,mean_normalized_reduction,left_status,right_status,left_certified,right_certified,certification_gain,certification_loss
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_D_VS_CW_D,CW_D,LOC_D,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_D_VS_CW_D,CW_D,LOC_D,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,10,6,4,0,5.4,3.5,14,0.19752441523993247,COMPLETED,COMPLETED,True,True,0,0
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,10,6,4,0,5.4,3.5,14,0.18920469399881165,COMPLETED,COMPLETED,True,True,0,0
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,False,10,6,4,0,5.4,3.5,14,0.19752441523993247,COMPLETED,COMPLETED,True,True,0,0
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,False,10,6,4,0,5.4,3.5,14,0.18920469399881165,COMPLETED,COMPLETED,True,True,0,0
