plot,cell_id,taskset_id,variant,relation,x,y,outcome
variant_certification,772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,CW_THETA_CW,,1/5,1,COMPLETED
variant_runtime,772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,CW_THETA_CW,,1/5,0.667686103,COMPLETED
first_failed_priority,772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,CW_THETA_CW,,1/5,,COMPLETED
envelope_search_cost,772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,CW_THETA_CW,,1/5,131,COMPLETED
variant_certification,d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,LOC_THETA_LOC,,1/5,1,COMPLETED
variant_runtime,d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,LOC_THETA_LOC,,1/5,0.655851201,COMPLETED
first_failed_priority,d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,LOC_THETA_LOC,,1/5,,COMPLETED
envelope_search_cost,d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,LOC_THETA_LOC,,1/5,151,COMPLETED
variant_certification,772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,CW_D,,1/5,1,COMPLETED
variant_runtime,772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,CW_D,,1/5,0.900195572,COMPLETED
first_failed_priority,772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,CW_D,,1/5,,COMPLETED
