cell_id,variant,unconditional_denominator,terminal_count,completed_only_denominator,certified_count,no_candidate_count,timeout_count,not_applicable_count,numeric_error_count,internal_failure_count,certification_ratio_unconditional,certification_ratio_completed_only,runtime_mean,runtime_median,runtime_p95,runtime_max,mean_candidate_task_count,first_failed_priority_observation_count,checked_w_total,checked_h_total,checked_q_total,envelope_call_total
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.900195572,0.900195572,0.900195572,0.900195572,10.0,0,115,10,185,185
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.667686103,0.667686103,0.667686103,0.667686103,10.0,0,61,10,131,131
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.918490078,0.918490078,0.918490078,0.918490078,10.0,0,115,10,185,185
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.678870346,0.678870346,0.678870346,0.678870346,10.0,0,61,10,131,131
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,0.717652443,0.717652443,0.717652443,0.717652443,10.0,0,61,10,131,131
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.973346339,0.973346339,0.973346339,0.973346339,10.0,0,125,30,205,205
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.659878675,0.659878675,0.659878675,0.659878675,10.0,0,71,30,151,151
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.939086917,0.939086917,0.939086917,0.939086917,10.0,0,125,30,205,205
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.661420979,0.661420979,0.661420979,0.661420979,10.0,0,71,30,151,151
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,0.655851201,0.655851201,0.655851201,0.655851201,10.0,0,71,30,151,151
