plot,method,taskset_id,task_id,category,x,y
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,0,COMMON_TASK,0,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,0,COMMON_TASK,0.0,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,0,COMMON_TASK,1.0,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,1,COMMON_TASK,0,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,1,COMMON_TASK,0.0,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,1,COMMON_TASK,1.0,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,2,COMMON_TASK,0,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,2,COMMON_TASK,0.0,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,2,COMMON_TASK,1.0,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,3,COMMON_TASK,0,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,3,COMMON_TASK,0.0,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,3,COMMON_TASK,1.0,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,4,COMMON_TASK,2,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,4,COMMON_TASK,0.3333333333333333,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,4,COMMON_TASK,1.3333333333333333,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,5,COMMON_TASK,5,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,5,COMMON_TASK,0.8333333333333334,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,5,COMMON_TASK,1.8333333333333333,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,6,COMMON_TASK,8,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,6,COMMON_TASK,0.36363636363636365,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,6,COMMON_TASK,1.3636363636363635,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,7,COMMON_TASK,11,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,7,COMMON_TASK,11.0,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,7,COMMON_TASK,12.0,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,8,COMMON_TASK,12,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,8,COMMON_TASK,2.4,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,8,COMMON_TASK,3.4,1
absolute_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,9,COMMON_TASK,13,1
normalized_gap,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,9,COMMON_TASK,0.7647058823529411,1
ratio,CW_THETA_CW,v93-5b7dce0b03-t00000-2292118c3dc7,9,COMMON_TASK,1.7647058823529411,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,0,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,0,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,0,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,1,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,1,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,1,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,2,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,2,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,2,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,3,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,3,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,3,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,4,COMMON_TASK,2,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,4,COMMON_TASK,0.3333333333333333,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,4,COMMON_TASK,1.3333333333333333,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,5,COMMON_TASK,5,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,5,COMMON_TASK,0.8333333333333334,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,5,COMMON_TASK,1.8333333333333333,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,6,COMMON_TASK,8,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,6,COMMON_TASK,0.36363636363636365,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,6,COMMON_TASK,1.3636363636363635,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,7,COMMON_TASK,11,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,7,COMMON_TASK,11.0,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,7,COMMON_TASK,12.0,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,8,COMMON_TASK,12,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,8,COMMON_TASK,2.4,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,8,COMMON_TASK,3.4,1
absolute_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,9,COMMON_TASK,13,1
normalized_gap,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,9,COMMON_TASK,0.7647058823529411,1
ratio,LOC_THETA_LOC,v93-5b7dce0b03-t00000-2292118c3dc7,9,COMMON_TASK,1.7647058823529411,1
soundness_matrix,ALL,,,RTA_PASS_SIM_PASS,RTA_PASS_SIM_PASS,2
