analysis_id,cell_id,taskset_id,exact_e0,analysis_variant,task_id,priority_rank,C,D,T,P,D_over_T,task_solver_status,task_certification_status,candidate_response_time,closing_w,witness_h,checked_w_count,checked_h_count,checked_q_count,envelope_call_count,failure_reason,carry_in_vector_hash
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,0,0,3,41,41,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,3,3,0,1,1,3,3,,
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,1,1,2,67,67,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,2,2,0,1,1,2,2,,12a93bcd334f4c349326da74db9bc6733e6321ead91060b0bce2307af3a6ab1d
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,2,2,9,77,77,279/500000,1,CANDIDATE_FOUND,CERTIFIED,9,9,0,1,1,9,9,,e3ab6bc08a7e7f57b5b9615df4f4a939be4ac17ae81c5c4ae8ab5d63407e0a94
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,3,3,9,79,79,279/400000,1,CANDIDATE_FOUND,CERTIFIED,9,9,0,1,1,9,9,,1709563d39328adf4b3be40a473ca81f04c71d687d72cb154bf11b5d6b32283e
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,4,4,6,83,83,279/400000,1,CANDIDATE_FOUND,CERTIFIED,8,8,0,3,1,8,8,,657448e20f7d59f387eb60ad0ae46de26770637f3bb3ca2e1eefdbd7aaa10378
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,5,5,6,95,95,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,11,11,0,6,1,11,11,,ca29053282ced36613b09aa08da28bee1515a51f16312287312533efde97d458
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,6,6,22,109,109,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,30,30,0,9,1,30,30,,6f0eeb17a716f0f4c3cbd1dd1e8401b58cca8cf0be1a22aa0ba0c7818c0c0a04
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,7,7,1,118,118,279/400000,1,CANDIDATE_FOUND,CERTIFIED,12,12,0,12,1,12,12,,eecde2df3dd33aff1f3bfd2002c0801a549928ca076dae9ca7f6f489d617eb2b
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,8,8,5,162,162,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,17,17,0,13,1,17,17,,72de9aa6831d3cc413827a0b9dd7595a7d6906ef4e760541af34b7b4dfa60a0c
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,9,9,17,193,193,279/400000,1,CANDIDATE_FOUND,CERTIFIED,30,30,0,14,1,30,30,,2237f75d1cddb9d4c757002a1098aebde6e34df73b5b6d9e1c16fa78277ec010
bc3d3b08a25dda856d3306b275cce080bdcc0044d8b28e6c9b6ad6731bc7792b,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC,0,0,3,41,41,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,3,3,0,1,1,3,3,,
bc3d3b08a25dda856d3306b275cce080bdcc0044d8b28e6c9b6ad6731bc7792b,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC,1,1,2,67,67,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,2,2,0,1,1,2,2,,12a93bcd334f4c349326da74db9bc6733e6321ead91060b0bce2307af3a6ab1d
bc3d3b08a25dda856d3306b275cce080bdcc0044d8b28e6c9b6ad6731bc7792b,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC,2,2,9,77,77,279/500000,1,CANDIDATE_FOUND,CERTIFIED,9,9,0,1,1,9,9,,e3ab6bc08a7e7f57b5b9615df4f4a939be4ac17ae81c5c4ae8ab5d63407e0a94
bc3d3b08a25dda856d3306b275cce080bdcc0044d8b28e6c9b6ad6731bc7792b,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC,3,3,9,79,79,279/400000,1,CANDIDATE_FOUND,CERTIFIED,9,9,0,1,1,9,9,,1709563d39328adf4b3be40a473ca81f04c71d687d72cb154bf11b5d6b32283e
bc3d3b08a25dda856d3306b275cce080bdcc0044d8b28e6c9b6ad6731bc7792b,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC,4,4,6,83,83,279/400000,1,CANDIDATE_FOUND,CERTIFIED,8,8,0,3,1,8,8,,657448e20f7d59f387eb60ad0ae46de26770637f3bb3ca2e1eefdbd7aaa10378
bc3d3b08a25dda856d3306b275cce080bdcc0044d8b28e6c9b6ad6731bc7792b,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC,5,5,6,95,95,9300000000000001/200000000000000000000,1,CANDIDATE_FOUND,CERTIFIED,11,11,0,6,1,11,11,,ca29053282ced36613b09aa08da28bee1515a51f16312287312533efde97d458
