simulation_id,cell_id,taskset_id,taskset_hash,exact_e0,task_id,observed_jobs,completed_jobs,missed_jobs,censored_jobs,r_sim_max,horizon_coverage,minimum_jobs_satisfied,tightness_eligible,censoring_label
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,0,15,15,0,0,3,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,1,9,9,0,0,2,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,2,8,8,0,0,9,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,3,8,8,0,0,9,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,4,7,7,0,0,6,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,5,7,7,0,0,6,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,6,6,6,0,0,22,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,7,6,6,0,0,1,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,8,4,4,0,0,5,1.0,True,True,OBSERVED
80c2370aaa17bc62d46800fad5eedb73f6f8ef6de4d3c4ba9c497f319f47cea1,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,2292118c3dc7677d27da45e2795999e7df9dbbf93513d3e088512e9aec860b10,1,9,4,3,0,1,17,0.75,True,True,OBSERVED_WITH_RIGHT_CENSORED_TAIL
