analysis_id,cell_id,taskset_id,exact_e0,analysis_variant,task_id,priority_rank,D,r_rta,r_sim_max,absolute_gap,normalized_gap,ratio,slack_to_deadline,exact_equality
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,0,0,41,3,3,0,0.0,1.0,38,True
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,1,1,67,2,2,0,0.0,1.0,65,True
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,2,2,77,9,9,0,0.0,1.0,68,True
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,3,3,79,9,9,0,0.0,1.0,70,True
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,4,4,83,8,6,2,0.3333333333333333,1.3333333333333333,75,False
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,5,5,95,11,6,5,0.8333333333333334,1.8333333333333333,84,False
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,6,6,109,30,22,8,0.36363636363636365,1.3636363636363635,79,False
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,7,7,118,12,1,11,11.0,12.0,106,False
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,8,8,162,17,5,12,2.4,3.4,145,False
1e1cea40ca380f60ac65c0e37fd0f618ef6e146c24fa4f54c9686fee2527792a,2fa01590a4d229ba51b6172004caa5f71e18b849e569477e7d935b3ad1959e14,v93-5b7dce0b03-t00000-2292118c3dc7,1,CW_THETA_CW,9,9,193,30,17,13,0.7647058823529411,1.7647058823529411,163,False
