plot,method,taskset_id,task_id,category,x,y
absolute_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,0,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,0,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,0,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,1,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,1,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,1,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,2,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,2,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,2,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,3,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,3,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,3,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,4,COMMON_TASK,2,1
normalized_gap,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,4,COMMON_TASK,0.1111111111111111,1
ratio,LOC_THETA_LOC,v93-cd19d17b28-t00000-a5ba4f306431,4,COMMON_TASK,1.1111111111111112,1
absolute_gap,LOC_THETA_LOC,v93-131fd46ea7-t00000-b9ce38c4b1cc,0,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-131fd46ea7-t00000-b9ce38c4b1cc,0,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-131fd46ea7-t00000-b9ce38c4b1cc,0,COMMON_TASK,1.0,1
absolute_gap,LOC_THETA_LOC,v93-131fd46ea7-t00000-b9ce38c4b1cc,1,COMMON_TASK,0,1
normalized_gap,LOC_THETA_LOC,v93-131fd46ea7-t00000-b9ce38c4b1cc,1,COMMON_TASK,0.0,1
ratio,LOC_THETA_LOC,v93-131fd46ea7-t00000-b9ce38c4b1cc,1,COMMON_TASK,1.0,1
