simulation_id,cell_id,taskset_id,taskset_hash,exact_e0,task_id,observed_jobs,completed_jobs,missed_jobs,censored_jobs,r_sim_max,horizon_coverage,minimum_jobs_satisfied,tightness_eligible,censoring_label
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,0,14,13,0,1,8,0.9285714285714286,True,True,OBSERVED_WITH_RIGHT_CENSORED_TAIL
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,1,13,13,0,0,4,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,2,12,12,0,0,3,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,3,10,10,0,0,3,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,4,9,9,0,0,18,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,5,8,8,0,0,7,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,6,8,8,0,0,3,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,7,7,7,0,0,5,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,8,6,6,0,0,10,1.0,True,True,OBSERVED
054fb83a9dd74eec37da11e42b8c8674d965dc7c2fe8ce0f8355741a0f5fcbb4,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,9,5,5,0,0,21,1.0,True,True,OBSERVED
