plot,parameter_name,level_index,level_encoding,variant,metric,value
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,timeout_count,0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,runtime_mean_seconds,0.180775598
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,runtime_mean_seconds,0.187027679
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,candidate_mean,7.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,candidate_median,7.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,candidate_p95,12.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,timeout_count,0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,runtime_mean_seconds,0.180974696
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,candidate_mean,7.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,candidate_median,7.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,candidate_p95,12.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,runtime_mean_seconds,0.176605661
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,timeout_count,0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,runtime_mean_seconds,0.178905352
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,runtime_mean_seconds,0.2010054
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,timeout_count,0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,runtime_mean_seconds,0.175002649
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,runtime_mean_seconds,0.178095853
