analysis_id,cell_id,taskset_id,exact_e0,analysis_variant,task_id,priority_rank,C,D,T,P,D_over_T,task_solver_status,task_certification_status,candidate_response_time,closing_w,witness_h,checked_w_count,checked_h_count,checked_q_count,envelope_call_count,failure_reason,carry_in_vector_hash
5bb4e1132eb4061b9ad93b6c22d67ff1806c364adc94dd3ba05b6097bdeceeba,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,CW_THETA_CW,0,0,7,41,42,9300000000000001/25000000000000000000,41/42,CANDIDATE_FOUND,CERTIFIED,8,8,1,2,3,9,9,,
5bb4e1132eb4061b9ad93b6c22d67ff1806c364adc94dd3ba05b6097bdeceeba,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,CW_THETA_CW,1,1,8,49,77,9300000000000001/200000000000000000000,7/11,CANDIDATE_FOUND,CERTIFIED,9,9,1,2,3,10,10,,dcba506cf845be4089a3e8193fefda767efcd506c11c04de7bb9cc562f6f263a
5bb4e1132eb4061b9ad93b6c22d67ff1806c364adc94dd3ba05b6097bdeceeba,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,CW_THETA_CW,2,2,3,91,108,9300000000000001/200000000000000000000,91/108,CANDIDATE_FOUND,CERTIFIED,4,4,1,2,3,5,5,,01ebb53b4a3f0dc46e7562e393ff286245e3d2c27e97f0b4dd6551e7fccf0b67
5bb4e1132eb4061b9ad93b6c22d67ff1806c364adc94dd3ba05b6097bdeceeba,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,CW_THETA_CW,3,3,41,95,109,9300000000000001/200000000000000000000,95/109,CANDIDATE_FOUND,CERTIFIED,42,42,1,2,3,43,43,,3d080beacd9b1520a01d6d2955af538138a3b4768a62ee83b6b180c945083f00
5bb4e1132eb4061b9ad93b6c22d67ff1806c364adc94dd3ba05b6097bdeceeba,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,CW_THETA_CW,4,4,9,96,127,279/400000,96/127,CANDIDATE_FOUND,CERTIFIED,13,13,1,5,3,14,14,,54129150b7b5885f34948773f568b12f15b88f8a6569804787441aaed42d63a6
5bb4e1132eb4061b9ad93b6c22d67ff1806c364adc94dd3ba05b6097bdeceeba,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,CW_THETA_CW,5,5,7,123,131,9300000000000001/200000000000000000000,123/131,CANDIDATE_FOUND,CERTIFIED,17,17,1,11,3,18,18,,57b4e29f228c5341b847337b7c9868150b62143157398f58370d19eeeed0b661
8d1277a1e1d3f16e21318c72b15c43cd1fccb3fb8133a1d34380fb1d74e52aa4,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,LOC_THETA_LOC,0,0,7,41,42,9300000000000001/25000000000000000000,41/42,CANDIDATE_FOUND,CERTIFIED,8,8,1,2,3,9,9,,
8d1277a1e1d3f16e21318c72b15c43cd1fccb3fb8133a1d34380fb1d74e52aa4,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,LOC_THETA_LOC,1,1,8,49,77,9300000000000001/200000000000000000000,7/11,CANDIDATE_FOUND,CERTIFIED,9,9,1,2,3,10,10,,dcba506cf845be4089a3e8193fefda767efcd506c11c04de7bb9cc562f6f263a
8d1277a1e1d3f16e21318c72b15c43cd1fccb3fb8133a1d34380fb1d74e52aa4,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,LOC_THETA_LOC,2,2,3,91,108,9300000000000001/200000000000000000000,91/108,CANDIDATE_FOUND,CERTIFIED,4,4,1,2,3,5,5,,01ebb53b4a3f0dc46e7562e393ff286245e3d2c27e97f0b4dd6551e7fccf0b67
8d1277a1e1d3f16e21318c72b15c43cd1fccb3fb8133a1d34380fb1d74e52aa4,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,LOC_THETA_LOC,3,3,41,95,109,9300000000000001/200000000000000000000,95/109,CANDIDATE_FOUND,CERTIFIED,42,42,1,2,3,43,43,,3d080beacd9b1520a01d6d2955af538138a3b4768a62ee83b6b180c945083f00
8d1277a1e1d3f16e21318c72b15c43cd1fccb3fb8133a1d34380fb1d74e52aa4,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,LOC_THETA_LOC,4,4,9,96,127,279/400000,96/127,CANDIDATE_FOUND,CERTIFIED,13,13,1,5,3,14,14,,54129150b7b5885f34948773f568b12f15b88f8a6569804787441aaed42d63a6
8d1277a1e1d3f16e21318c72b15c43cd1fccb3fb8133a1d34380fb1d74e52aa4,07a12db2be791f7fd1e9ab85125e011d55182ad76ea3cc21e36432b8de854006,v93-81b8743848-t00000-2b4c59cc48b1,0,LOC_THETA_LOC,5,5,7,123,131,9300000000000001/200000000000000000000,123/131,CANDIDATE_FOUND,CERTIFIED,17,17,1,11,3,18,18,,57b4e29f228c5341b847337b7c9868150b62143157398f58370d19eeeed0b661
