analysis_id,cell_id,taskset_id,exact_e0,analysis_variant,task_id,priority_rank,C,D,T,P,D_over_T,task_solver_status,task_certification_status,candidate_response_time,closing_w,witness_h,checked_w_count,checked_h_count,checked_q_count,envelope_call_count,failure_reason,carry_in_vector_hash
0b14b91b702b5ce79bec614dc0dc55cc9397aab3359721f56db75cf10c140272,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,LOC_THETA_LOC,0,0,29,109,182,279/400000,109/182,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,30,30,1,2,3,31,31,,
0b14b91b702b5ce79bec614dc0dc55cc9397aab3359721f56db75cf10c140272,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,LOC_THETA_LOC,1,1,3,75,196,9300000000000001/200000000000000000000,75/196,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,4,4,1,2,3,5,5,,f71b84ea74b1df3b4096474c4c0673eb257c8c909bfaf9750ca83e3b5b1c70d1
0b14b91b702b5ce79bec614dc0dc55cc9397aab3359721f56db75cf10c140272,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,LOC_THETA_LOC,2,2,32,111,202,279/400000,111/202,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,36,36,1,5,3,37,37,,ed0691fa4d1097fdb1d8297033c6c609552f0c2b10fc0d2ba3ee16715184f6aa
0b14b91b702b5ce79bec614dc0dc55cc9397aab3359721f56db75cf10c140272,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,LOC_THETA_LOC,3,3,9,121,210,279/400000,121/210,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,42,42,1,34,3,43,43,,c23bd4ee0883d5797c25f04d6b0232f0bf980f36e859d9a8b9f5a988736a42fb
0b14b91b702b5ce79bec614dc0dc55cc9397aab3359721f56db75cf10c140272,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,LOC_THETA_LOC,4,4,4,36,262,279/400000,18/131,NO_CANDIDATE,NOT_CERTIFIED,,,,33,0,0,0,no v9.3 closure candidate by the task deadline,b70f6d58373484488e24c2514b91659bfedd89ba84fc903e47895ad74aa0502d
0b14b91b702b5ce79bec614dc0dc55cc9397aab3359721f56db75cf10c140272,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,LOC_THETA_LOC,5,5,3,236,348,279/400000,59/87,NOT_EVALUATED_AFTER_PREFIX_FAILURE,NOT_APPLICABLE,,,,0,0,0,0,not evaluated after prefix failure,
d6cc01a318856de7e82b372664b9cf4869222732b43a33c966d0167f2069b7b5,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,CW_THETA_CW,0,0,29,109,182,279/400000,109/182,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,30,30,1,2,3,31,31,,
d6cc01a318856de7e82b372664b9cf4869222732b43a33c966d0167f2069b7b5,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,CW_THETA_CW,1,1,3,75,196,9300000000000001/200000000000000000000,75/196,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,4,4,1,2,3,5,5,,f71b84ea74b1df3b4096474c4c0673eb257c8c909bfaf9750ca83e3b5b1c70d1
d6cc01a318856de7e82b372664b9cf4869222732b43a33c966d0167f2069b7b5,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,CW_THETA_CW,2,2,32,111,202,279/400000,111/202,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,36,36,1,5,3,37,37,,ed0691fa4d1097fdb1d8297033c6c609552f0c2b10fc0d2ba3ee16715184f6aa
d6cc01a318856de7e82b372664b9cf4869222732b43a33c966d0167f2069b7b5,6eb66d3ca446aa445142398f93c62db2d55c94421ef66e417f5edebbaf675404,v93-e734fbff5d-t00000-4a3ac4d6db0b,0,CW_THETA_CW,3,3,9,121,210,279/400000,121/210,CANDIDATE_FOUND,PROVISIONAL_NOT_CERTIFIED,42,42,1,34,3,43,43,,c23bd4ee0883d5797c25f04d6b0232f0bf980f36e859d9a8b9f5a988736a42fb
