plot,scaling_axis,level_id,level_value,worker_count,variant,metric,value
runtime,core_count,2,2,1,CW_THETA_CW,completed_median_seconds,0.137207104
runtime,core_count,2,2,1,CW_THETA_CW,completed_p95_seconds,0.137207104
peak_rss,core_count,2,2,1,CW_THETA_CW,peak_rss_max_kib,19476.0
search_counts,core_count,2,2,1,CW_THETA_CW,checked_w_total,45
timeout_rate,core_count,2,2,1,CW_THETA_CW,timeout_rate,0.0
throughput,core_count,2,2,1,CW_THETA_CW,throughput_analyses_per_second,5.313382925849873
runtime,core_count,2,2,1,LOC_THETA_LOC,completed_median_seconds,0.130105319
runtime,core_count,2,2,1,LOC_THETA_LOC,completed_p95_seconds,0.130105319
peak_rss,core_count,2,2,1,LOC_THETA_LOC,peak_rss_max_kib,19392.0
search_counts,core_count,2,2,1,LOC_THETA_LOC,checked_w_total,45
timeout_rate,core_count,2,2,1,LOC_THETA_LOC,timeout_rate,0.0
throughput,core_count,2,2,1,LOC_THETA_LOC,throughput_analyses_per_second,5.313382925849873
runtime,core_count,4,4,1,CW_THETA_CW,completed_median_seconds,0.655691185
runtime,core_count,4,4,1,CW_THETA_CW,completed_p95_seconds,0.655691185
peak_rss,core_count,4,4,1,CW_THETA_CW,peak_rss_max_kib,19476.0
search_counts,core_count,4,4,1,CW_THETA_CW,checked_w_total,24
timeout_rate,core_count,4,4,1,CW_THETA_CW,timeout_rate,0.0
throughput,core_count,4,4,1,CW_THETA_CW,throughput_analyses_per_second,0.8459176766468116
runtime,core_count,4,4,1,LOC_THETA_LOC,completed_median_seconds,0.602125741
runtime,core_count,4,4,1,LOC_THETA_LOC,completed_p95_seconds,0.602125741
peak_rss,core_count,4,4,1,LOC_THETA_LOC,peak_rss_max_kib,19608.0
search_counts,core_count,4,4,1,LOC_THETA_LOC,checked_w_total,24
timeout_rate,core_count,4,4,1,LOC_THETA_LOC,timeout_rate,0.0
throughput,core_count,4,4,1,LOC_THETA_LOC,throughput_analyses_per_second,0.8459176766468116
runtime,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,CW_THETA_CW,completed_median_seconds,0.128220754
runtime,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,CW_THETA_CW,completed_p95_seconds,0.128220754
peak_rss,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,CW_THETA_CW,peak_rss_max_kib,20100.0
search_counts,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,CW_THETA_CW,checked_w_total,45
timeout_rate,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,CW_THETA_CW,timeout_rate,0.0
throughput,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,CW_THETA_CW,throughput_analyses_per_second,5.6846300717888445
runtime,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,LOC_THETA_LOC,completed_median_seconds,0.131079347
runtime,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,LOC_THETA_LOC,completed_p95_seconds,0.131079347
peak_rss,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,LOC_THETA_LOC,peak_rss_max_kib,20100.0
search_counts,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,LOC_THETA_LOC,checked_w_total,45
timeout_rate,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,LOC_THETA_LOC,timeout_rate,0.0
throughput,period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,LOC_THETA_LOC,throughput_analyses_per_second,5.6846300717888445
runtime,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,CW_THETA_CW,completed_median_seconds,0.415984278
runtime,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,CW_THETA_CW,completed_p95_seconds,0.415984278
peak_rss,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,CW_THETA_CW,peak_rss_max_kib,19952.0
search_counts,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,CW_THETA_CW,checked_w_total,76
timeout_rate,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,CW_THETA_CW,timeout_rate,0.0
throughput,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,CW_THETA_CW,throughput_analyses_per_second,1.0305348878365543
runtime,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,LOC_THETA_LOC,completed_median_seconds,0.41524651
runtime,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,LOC_THETA_LOC,completed_p95_seconds,0.41524651
peak_rss,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,LOC_THETA_LOC,peak_rss_max_kib,19952.0
search_counts,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,LOC_THETA_LOC,checked_w_total,76
timeout_rate,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,LOC_THETA_LOC,timeout_rate,0.0
throughput,period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,LOC_THETA_LOC,throughput_analyses_per_second,1.0305348878365543
runtime,task_count,10,10,1,CW_THETA_CW,completed_median_seconds,0.133887429
runtime,task_count,10,10,1,CW_THETA_CW,completed_p95_seconds,0.133887429
peak_rss,task_count,10,10,1,CW_THETA_CW,peak_rss_max_kib,19604.0
search_counts,task_count,10,10,1,CW_THETA_CW,checked_w_total,39
timeout_rate,task_count,10,10,1,CW_THETA_CW,timeout_rate,0.0
throughput,task_count,10,10,1,CW_THETA_CW,throughput_analyses_per_second,1.4854329918080824
runtime,task_count,10,10,1,LOC_THETA_LOC,completed_median_seconds,0.132506266
runtime,task_count,10,10,1,LOC_THETA_LOC,completed_p95_seconds,0.132506266
peak_rss,task_count,10,10,1,LOC_THETA_LOC,peak_rss_max_kib,19640.0
search_counts,task_count,10,10,1,LOC_THETA_LOC,checked_w_total,39
timeout_rate,task_count,10,10,1,LOC_THETA_LOC,timeout_rate,0.0
throughput,task_count,10,10,1,LOC_THETA_LOC,throughput_analyses_per_second,1.4854329918080824
runtime,task_count,6,6,1,CW_THETA_CW,completed_median_seconds,0.131889678
runtime,task_count,6,6,1,CW_THETA_CW,completed_p95_seconds,0.131889678
peak_rss,task_count,6,6,1,CW_THETA_CW,peak_rss_max_kib,19460.0
search_counts,task_count,6,6,1,CW_THETA_CW,checked_w_total,45
timeout_rate,task_count,6,6,1,CW_THETA_CW,timeout_rate,0.0
throughput,task_count,6,6,1,CW_THETA_CW,throughput_analyses_per_second,1.3272888105107805
runtime,task_count,6,6,1,LOC_THETA_LOC,completed_median_seconds,0.129869409
runtime,task_count,6,6,1,LOC_THETA_LOC,completed_p95_seconds,0.129869409
peak_rss,task_count,6,6,1,LOC_THETA_LOC,peak_rss_max_kib,19408.0
search_counts,task_count,6,6,1,LOC_THETA_LOC,checked_w_total,45
timeout_rate,task_count,6,6,1,LOC_THETA_LOC,timeout_rate,0.0
throughput,task_count,6,6,1,LOC_THETA_LOC,throughput_analyses_per_second,1.3272888105107805
runtime,worker_count,1,1,1,CW_THETA_CW,completed_median_seconds,0.130915024
runtime,worker_count,1,1,1,CW_THETA_CW,completed_p95_seconds,0.130915024
peak_rss,worker_count,1,1,1,CW_THETA_CW,peak_rss_max_kib,20852.0
search_counts,worker_count,1,1,1,CW_THETA_CW,checked_w_total,45
timeout_rate,worker_count,1,1,1,CW_THETA_CW,timeout_rate,0.0
throughput,worker_count,1,1,1,CW_THETA_CW,throughput_analyses_per_second,5.501096170202128
runtime,worker_count,1,1,1,LOC_THETA_LOC,completed_median_seconds,0.136448636
runtime,worker_count,1,1,1,LOC_THETA_LOC,completed_p95_seconds,0.136448636
