scaling_axis,level_id,level_value,worker_count,variant,analysis_count,completed_count,completed_mean_seconds,completed_median_seconds,completed_p95_seconds,completed_max_seconds,timeout_count,timeout_rate,censored_count,timeout_budget_seconds,restricted_mean_runtime_seconds,restriction_tau_seconds,peak_rss_mean_kib,peak_rss_max_kib,checked_w_total,checked_h_total,checked_q_total,envelope_call_total,candidate_found_task_total,cell_wall_seconds,throughput_analyses_per_second
core_count,2,2,1,CW_THETA_CW,1,1,0.137207104,0.137207104,0.137207104,0.137207104,0,0.0,0,4.0,0.137207104,4.0,19476.0,19476.0,45,18,83,83,6,0.376408030,5.313382925849873
core_count,2,2,1,LOC_THETA_LOC,1,1,0.130105319,0.130105319,0.130105319,0.130105319,0,0.0,0,4.0,0.130105319,4.0,19392.0,19392.0,45,18,83,83,6,0.376408030,5.313382925849873
core_count,4,4,1,CW_THETA_CW,1,1,0.655691185,0.655691185,0.655691185,0.655691185,0,0.0,0,4.0,0.655691185,4.0,19476.0,19476.0,24,18,99,99,6,2.364296261,0.8459176766468116
core_count,4,4,1,LOC_THETA_LOC,1,1,0.602125741,0.602125741,0.602125741,0.602125741,0,0.0,0,4.0,0.602125741,4.0,19608.0,19608.0,24,18,99,99,6,2.364296261,0.8459176766468116
period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,CW_THETA_CW,1,1,0.128220754,0.128220754,0.128220754,0.128220754,0,0.0,0,4.0,0.128220754,4.0,20100.0,20100.0,45,18,83,83,6,0.351825884,5.6846300717888445
period_range,default-40-200,"{""id"":""default-40-200"",""max"":200,""min"":40}",1,LOC_THETA_LOC,1,1,0.131079347,0.131079347,0.131079347,0.131079347,0,0.0,0,4.0,0.131079347,4.0,20100.0,20100.0,45,18,83,83,6,0.351825884,5.6846300717888445
period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,CW_THETA_CW,1,1,0.415984278,0.415984278,0.415984278,0.415984278,0,0.0,0,4.0,0.415984278,4.0,19952.0,19952.0,76,12,116,116,4,1.940739730,1.0305348878365543
period_range,exact-2x-80-400,"{""id"":""exact-2x-80-400"",""max"":400,""min"":80}",1,LOC_THETA_LOC,1,1,0.41524651,0.41524651,0.41524651,0.41524651,0,0.0,0,4.0,0.41524651,4.0,19952.0,19952.0,76,12,116,116,4,1.940739730,1.0305348878365543
task_count,10,10,1,CW_THETA_CW,1,1,0.133887429,0.133887429,0.133887429,0.133887429,0,0.0,0,4.0,0.133887429,4.0,19604.0,19604.0,39,16,51,51,5,1.346408765,1.4854329918080824
task_count,10,10,1,LOC_THETA_LOC,1,1,0.132506266,0.132506266,0.132506266,0.132506266,0,0.0,0,4.0,0.132506266,4.0,19640.0,19640.0,39,16,51,51,5,1.346408765,1.4854329918080824
task_count,6,6,1,CW_THETA_CW,1,1,0.131889678,0.131889678,0.131889678,0.131889678,0,0.0,0,4.0,0.131889678,4.0,19460.0,19460.0,45,18,83,83,6,1.506831056,1.3272888105107805
task_count,6,6,1,LOC_THETA_LOC,1,1,0.129869409,0.129869409,0.129869409,0.129869409,0,0.0,0,4.0,0.129869409,4.0,19408.0,19408.0,45,18,83,83,6,1.506831056,1.3272888105107805
worker_count,1,1,1,CW_THETA_CW,1,1,0.130915024,0.130915024,0.130915024,0.130915024,0,0.0,0,4.0,0.130915024,4.0,20852.0,20852.0,45,18,83,83,6,0.363563904,5.501096170202128
worker_count,1,1,1,LOC_THETA_LOC,1,1,0.136448636,0.136448636,0.136448636,0.136448636,0,0.0,0,4.0,0.136448636,4.0,20852.0,20852.0,45,18,83,83,6,0.363563904,5.501096170202128
worker_count,2,2,2,CW_THETA_CW,1,1,0.131015307,0.131015307,0.131015307,0.131015307,0,0.0,0,4.0,0.131015307,4.0,21364.0,21364.0,45,18,83,83,6,0.355711987,5.622526293857699
worker_count,2,2,2,LOC_THETA_LOC,1,1,0.131644832,0.131644832,0.131644832,0.131644832,0,0.0,0,4.0,0.131644832,4.0,21364.0,21364.0,45,18,83,83,6,0.355711987,5.622526293857699
