plot,scheduler_id,timing_family,mechanism,paired_instance_id,category,x,y
response_time,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.954969251,1
response_time,gpfp_asap_block,ASAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,29,1
energy_blocked_time,gpfp_asap_block,ASAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_block,ASAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_block,ASAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,2.898288771,1
response_time,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.838827565,1
response_time,gpfp_asap_nonblock,ASAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,29,1
energy_blocked_time,gpfp_asap_nonblock,ASAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_nonblock,ASAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_nonblock,ASAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,2.850326035,1
response_time,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.839886545,1
response_time,gpfp_asap_sync,ASAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,29,1
energy_blocked_time,gpfp_asap_sync,ASAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_sync,ASAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_sync,ASAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,2.876056454,1
response_time,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,169,1
energy_blocked_time,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1320,1
runtime,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.765654933,1
response_time,gpfp_alap_block,ALAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,183,1
energy_blocked_time,gpfp_alap_block,ALAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_block,ALAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,943,1
runtime,gpfp_alap_block,ALAP,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,2.876510152,1
response_time,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,169,1
energy_blocked_time,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1320,1
runtime,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.795766472,1
response_time,gpfp_alap_nonblock,ALAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,183,1
energy_blocked_time,gpfp_alap_nonblock,ALAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_nonblock,ALAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,943,1
runtime,gpfp_alap_nonblock,ALAP,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,2.837324515,1
response_time,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,169,1
energy_blocked_time,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1320,1
runtime,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.832474173,1
response_time,gpfp_alap_sync,ALAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,183,1
energy_blocked_time,gpfp_alap_sync,ALAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_sync,ALAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,943,1
runtime,gpfp_alap_sync,ALAP,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,3.235318007,1
response_time,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1.424737526,1
response_time,gpfp_st_block,ST,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,29,1
energy_blocked_time,gpfp_st_block,ST,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_block,ST,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_block,ST,BLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,1.576520466,1
response_time,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.833578112,1
response_time,gpfp_st_nonblock,ST,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,29,1
energy_blocked_time,gpfp_st_nonblock,ST,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_nonblock,ST,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_nonblock,ST,NONBLOCK,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,2.955948990,1
response_time,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.801998583,1
response_time,gpfp_st_sync,ST,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,29,1
energy_blocked_time,gpfp_st_sync,ST,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_sync,ST,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_sync,ST,SYNC,6e71239ea328b08c944c86d891e284e32c637609469ceb8308518fa729756bb5,SIM_PASS_OBSERVED,2.872388161,1
