phase,cell_id,utilization,exact_e0,taskset_id,relation,task_id,priority_rank,w,h,q,visited_by_complete,visited_by_local,complete_envelope,local_envelope,envelope_relation,service_value,complete_closure,local_closure,local_only_closure,predicted_interval_hit
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,0,0,5,0,1,True,True,58125000000000001/25000000000000000000,58125000000000001/25000000000000000000,EQUAL,21473099401200000281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,0,0,5,0,2,True,True,58125000000000001/12500000000000000000,58125000000000001/12500000000000000000,EQUAL,29250899401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,0,0,5,0,3,True,True,174375000000000003/25000000000000000000,174375000000000003/25000000000000000000,EQUAL,37028699401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,0,0,5,0,4,True,True,58125000000000001/6250000000000000000,58125000000000001/6250000000000000000,EQUAL,44806499401200006281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,0,0,5,0,5,True,True,58125000000000001/5000000000000000000,58125000000000001/5000000000000000000,EQUAL,52584299401200006281/200000000000000000000,True,True,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,1,1,4,0,1,True,True,399900000000000001/200000000000000000000,399900000000000001/200000000000000000000,EQUAL,21473099401200000281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,1,1,4,0,2,True,True,399900000000000001/100000000000000000000,399900000000000001/100000000000000000000,EQUAL,29250899401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,1,1,4,0,3,True,True,1199700000000000003/200000000000000000000,1199700000000000003/200000000000000000000,EQUAL,37028699401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,1,1,4,0,4,True,True,399900000000000001/50000000000000000000,399900000000000001/50000000000000000000,EQUAL,44806499401200006281/200000000000000000000,True,True,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,1,True,True,2511/1000000,2511/1000000,EQUAL,21473099401200000281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,2,True,True,2511/500000,2511/500000,EQUAL,29250899401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,3,True,True,7533/1000000,7533/1000000,EQUAL,37028699401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,4,True,True,2511/250000,2511/250000,EQUAL,44806499401200006281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,5,True,True,2511/200000,2511/200000,EQUAL,52584299401200006281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,6,True,True,372000000000000001/25000000000000000000,372000000000000001/25000000000000000000,EQUAL,60362099401200012281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,7,True,True,215062500000000001/12500000000000000000,215062500000000001/12500000000000000000,EQUAL,68139899401200014281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,8,True,True,488250000000000003/25000000000000000000,488250000000000003/25000000000000000000,EQUAL,75917699401200010281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,9,True,True,136593750000000001/6250000000000000000,136593750000000001/6250000000000000000,EQUAL,83695499401200012281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,10,True,True,120900000000000001/5000000000000000000,120900000000000001/5000000000000000000,EQUAL,91473299401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,11,True,True,654487500000000007/25000000000000000000,654487500000000007/25000000000000000000,EQUAL,99251099401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,12,True,True,704475000000000009/25000000000000000000,704475000000000009/25000000000000000000,EQUAL,107028899401200026281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,13,True,True,754462500000000011/25000000000000000000,754462500000000011/25000000000000000000,EQUAL,114806699401200028281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,14,True,True,804450000000000013/25000000000000000000,804450000000000013/25000000000000000000,EQUAL,122584499401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,15,True,True,6770400000000000113/200000000000000000000,6770400000000000113/200000000000000000000,EQUAL,130362299401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,16,True,True,1408020000000000023/40000000000000000000,1408020000000000023/40000000000000000000,EQUAL,138140099401200040281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,17,True,True,7309800000000000117/200000000000000000000,7309800000000000117/200000000000000000000,EQUAL,145917899401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,18,True,True,7579500000000000119/200000000000000000000,7579500000000000119/200000000000000000000,EQUAL,153695699401200040281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,19,True,True,7849200000000000121/200000000000000000000,7849200000000000121/200000000000000000000,EQUAL,161473499401200040281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,20,True,True,8118900000000000123/200000000000000000000,8118900000000000123/200000000000000000000,EQUAL,169251299401200040281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,21,True,True,4143150000000000063/100000000000000000000,4143150000000000063/100000000000000000000,EQUAL,177029099401200040281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,22,0,22,True,True,8453700000000000129/200000000000000000000,8453700000000000129/200000000000000000000,EQUAL,184806899401200040281/200000000000000000000,True,True,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,3,3,5,0,1,True,True,2511/1000000,2511/1000000,EQUAL,21473099401200000281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,3,3,5,0,2,True,True,2511/500000,2511/500000,EQUAL,29250899401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,3,3,5,0,3,True,True,7533/1000000,7533/1000000,EQUAL,37028699401200002281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,3,3,5,0,4,True,True,2511/250000,2511/250000,EQUAL,44806499401200006281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,3,3,5,0,5,True,True,2511/200000,2511/200000,EQUAL,52584299401200006281/200000000000000000000,True,True,False,False
