plot,cell_id,taskset_id,variant,relation,x,y,outcome
variant_certification,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,CW_THETA_CW,,1/5,1,COMPLETED
variant_runtime,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,CW_THETA_CW,,1/5,0.827760433,COMPLETED
first_failed_priority,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,CW_THETA_CW,,1/5,,COMPLETED
envelope_search_cost,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,CW_THETA_CW,,1/5,110,COMPLETED
variant_certification,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,LOC_THETA_CW,,3/10,1,COMPLETED
variant_runtime,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,LOC_THETA_CW,,3/10,3.189050758,COMPLETED
first_failed_priority,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,LOC_THETA_CW,,3/10,,COMPLETED
envelope_search_cost,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,LOC_THETA_CW,,3/10,274,COMPLETED
variant_certification,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,CW_D,,1/5,1,COMPLETED
variant_runtime,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,CW_D,,1/5,0.976962477,COMPLETED
first_failed_priority,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,CW_D,,1/5,,COMPLETED
envelope_search_cost,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,CW_D,,1/5,117,COMPLETED
variant_certification,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,LOC_THETA_CW,,2/5,1,COMPLETED
variant_runtime,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,LOC_THETA_CW,,2/5,8.158995865,COMPLETED
first_failed_priority,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,LOC_THETA_CW,,2/5,,COMPLETED
envelope_search_cost,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,LOC_THETA_CW,,2/5,269,COMPLETED
variant_certification,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,LOC_THETA_CW,,2/5,1,COMPLETED
