cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,status
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,0,0,3,3,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,1,1,1,1,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,2,2,1,1,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,3,3,6,6,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,4,4,2,2,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,5,5,28,28,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,6,6,9,9,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,7,7,11,11,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,8,8,31,31,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,9,9,25,25,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,0,0,3,3,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,1,1,1,1,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,2,2,1,1,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,3,3,6,6,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,4,4,2,2,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,5,5,27,27,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,6,6,9,9,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,7,7,11,11,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,8,8,27,27,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,9,9,23,23,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,0,0,3,3,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,1,1,1,1,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,2,2,1,1,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,3,3,6,6,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,4,4,2,2,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,5,5,27,27,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,6,6,9,9,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,7,7,11,11,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,8,8,27,27,0,EQUAL
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,9,9,23,23,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,0,0,3,3,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,1,1,1,1,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,2,2,1,1,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,3,3,6,6,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,4,4,2,2,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,5,5,28,28,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,6,6,9,9,0,EQUAL
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,7,7,11,11,0,EQUAL
