analysis_id,cell_id,taskset_id,exact_e0,analysis_variant,task_id,priority_rank,C,D,T,P,D_over_T,task_solver_status,task_certification_status,candidate_response_time,closing_w,witness_h,checked_w_count,checked_h_count,checked_q_count,envelope_call_count,failure_reason,carry_in_vector_hash
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,0,0,3,33,42,279/400000,11/14,CANDIDATE_FOUND,CERTIFIED,3,3,0,1,1,3,3,,
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,1,1,1,21,50,9300000000000001/25000000000000000000,21/50,CANDIDATE_FOUND,CERTIFIED,1,1,0,1,1,1,1,,12a93bcd334f4c349326da74db9bc6733e6321ead91060b0bce2307af3a6ab1d
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,2,2,1,27,55,279/500000,27/55,CANDIDATE_FOUND,CERTIFIED,1,1,0,1,1,1,1,,be0fc70accbc240b038aab54e82f72822ad4af11526a0040e081d0214fedeb07
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,3,3,6,43,62,279/400000,43/62,CANDIDATE_FOUND,CERTIFIED,6,6,0,1,1,6,6,,1867061ffb6f1498d8a2db6939aeffff3ef915ec984c6ed7a3983e43fc79d314
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,4,4,1,80,81,279/400000,80/81,CANDIDATE_FOUND,CERTIFIED,2,2,0,2,1,2,2,,a7baacf2f4c5e402ca483eee37ebc0d8829e8013c2a26fbd78f316f14e89a61e
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,5,5,26,42,88,279/500000,21/44,CANDIDATE_FOUND,CERTIFIED,27,27,0,2,1,27,27,,efd7c08d86f7a0ee04564b42937a252cf756468db8efe01fdbd7e9292fabca70
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,6,6,6,61,112,9300000000000001/200000000000000000000,61/112,CANDIDATE_FOUND,CERTIFIED,9,9,0,4,1,9,9,,e6da678a4a017a05691a4782233a1ce2823ee5edf1add53927c67fd062e8bb14
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,7,7,5,58,138,9300000000000001/200000000000000000000,29/69,CANDIDATE_FOUND,CERTIFIED,11,11,0,7,1,11,11,,af45b6bb5412603ae326f9f64513d12665d25d16cee2b51ab909318e45efc21f
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,8,8,20,78,163,279/400000,78/163,CANDIDATE_FOUND,CERTIFIED,27,27,0,8,1,27,27,,ae23cfcee8aef2d55246190e3f22472245f47f77288bfdc2ce19bbbfc3281e55
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,21473099401200000281/200000000000000000000,CW_THETA_CW,9,9,12,135,164,9300000000000001/25000000000000000000,135/164,CANDIDATE_FOUND,CERTIFIED,23,23,0,12,1,23,23,,6c85ad181da30a474b63c66380e3f3cbff10ff3d5f754cdc070056014bf72208
