plot,cell_id,taskset_id,variant,relation,x,y,outcome
variant_certification,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_CW,,2/5,0,NOT_APPLICABLE_DEPENDENCY
variant_runtime,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_CW,,2/5,0.104362233,NOT_APPLICABLE_DEPENDENCY
first_failed_priority,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_CW,,2/5,,NOT_APPLICABLE_DEPENDENCY
envelope_search_cost,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_CW,,2/5,0,NOT_APPLICABLE_DEPENDENCY
variant_certification,95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,CW_THETA_CW,,1/5,1,COMPLETED
variant_runtime,95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,CW_THETA_CW,,1/5,0.539707033,COMPLETED
first_failed_priority,95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,CW_THETA_CW,,1/5,,COMPLETED
envelope_search_cost,95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,CW_THETA_CW,,1/5,144,COMPLETED
variant_certification,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,,3/10,0,NO_CANDIDATE
variant_runtime,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,,3/10,2.945135756,NO_CANDIDATE
first_failed_priority,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,,3/10,7,NO_CANDIDATE
envelope_search_cost,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,,3/10,123,NO_CANDIDATE
variant_certification,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,0,NO_CANDIDATE
variant_runtime,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,7.065644615,NO_CANDIDATE
first_failed_priority,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,9,NO_CANDIDATE
envelope_search_cost,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,263,NO_CANDIDATE
variant_certification,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,,3/10,0,NO_CANDIDATE
variant_runtime,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,,3/10,2.963281619,NO_CANDIDATE
first_failed_priority,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,,3/10,7,NO_CANDIDATE
envelope_search_cost,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,,3/10,123,NO_CANDIDATE
variant_certification,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,0,NO_CANDIDATE
variant_runtime,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,3.016838027,NO_CANDIDATE
first_failed_priority,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,7,NO_CANDIDATE
envelope_search_cost,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,125,NO_CANDIDATE
variant_certification,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,0,NO_CANDIDATE
variant_runtime,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,3.019844634,NO_CANDIDATE
first_failed_priority,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,7,NO_CANDIDATE
envelope_search_cost,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,CW_D,,3/10,125,NO_CANDIDATE
variant_certification,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,0,NO_CANDIDATE
variant_runtime,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,7.048196989,NO_CANDIDATE
first_failed_priority,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,9,NO_CANDIDATE
envelope_search_cost,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_D,,2/5,263,NO_CANDIDATE
variant_certification,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_D,,3/10,0,NO_CANDIDATE
variant_runtime,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_D,,3/10,3.048375035,NO_CANDIDATE
first_failed_priority,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_D,,3/10,7,NO_CANDIDATE
envelope_search_cost,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_D,,3/10,125,NO_CANDIDATE
variant_certification,79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,CW_THETA_CW,,1/5,1,COMPLETED
