analysis_id,request_id,cell_id,taskset_id,taskset_hash,generation_seed,M,task_n,utilization,exact_e0,deadline_mode,analysis_variant,method_role,solver_status,certification_status,taskset_proven,first_failed_priority,n_tasks_total,n_tasks_evaluated,n_tasks_candidate_found,n_tasks_certified,source_analysis_id,source_vector_hash,target_carry_in_vector_hash,dependency_check_status,fixed_carry_in_interface_status,dominance_invariant_status,dominance_violation_count,diagnostic_mode,final_attempt_id,attempt_count,timeout_budget_seconds,runtime_wall_seconds,runtime_cpu_seconds,worker_startup_seconds,serialization_seconds,ipc_seconds,outer_timeout,terminal_origin
004b9256c907af0de6c783f772215ad2f3c989d06ad45d8e1c10bfc965f9ff8b,b8add0ad895256eb5073768e3ef9cfc7c428ee26edc8c5a6455b4ed135ae693d,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,1,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,False,,10,0,0,0,645fefe23f1e38d0467b6f7807079697000dc4dd2704440a6953509054b8b673,,,INVALID,ACTIVE,NOT_APPLICABLE,0,False,d08c290201513b54fc8a67396c9db7c6a4c3c15bd55be5bdf61e24230223bd01,1,30.0,0.104362233,0.000645937,0.089159609,0.000149744,0.011614249,False,PRODUCTION_ANALYZER
038e8ca391c1405c0d2df4ceb4f860d5af167336ec062a4d0b10c971a7bf693e,f4d8c82e3ad73ddf8e72eec23057692bc81ea0ef8fb1ffdf90aa3af131eb27e7,95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,1241746954,4,10,1/5,21473099401200000281/200000000000000000000,constrained,CW_THETA_CW,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,1ab9b86fdaa5596ac9ee7132feb7102bed4f6b09e0813462de720246420fe696,1,30.0,0.539707033,0.428685863,0.088780930,0.000509277,0.012024528,False,PRODUCTION_ANALYZER
082a28339f5a01b416d9e2ad14e902c90e82517ca754f8f580dffa3c9811f47c,c1696b2d7769b2ffb415292760349b66560de95cf84455a852c082a737a49165,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,1267133459,4,10,3/10,21473099401200000281/200000000000000000000,constrained,LOC_THETA_LOC,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,7,10,8,7,0,ccd5251a26da683f5079e75511da7f0a9bcb285293c6a0a5e1235e7ad0efc54d,,,NOT_CHECKED,NOT_APPLICABLE,NOT_CHECKED,0,False,5bffb39938798f0a7d3537a2a98c826914059b95341caf552dba4316521847f3,1,30.0,2.945135756,2.834311597,0.096285863,0.000410841,0.011658704,False,PRODUCTION_ANALYZER
093d441ea7ffd42098d38a45451e995cfd608d52e4199dfbb2ae03a8b755f63d,87d9724b4d5ea8eb6648eb8461f577dcb3b095116d9b15dace36f2b670fd5544,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,21473099401200000281/200000000000000000000,constrained,LOC_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,9,10,10,9,0,,9814c27c0d0d386f43ca6b97e0d7521fe017a6f03372d53c1f52092b88dee94f,,NOT_CHECKED,ACTIVE,NOT_CHECKED,0,False,b3f24bfb010f8255505445b9c189e6290c65d804e4c49bba4685a5f77452afc6,1,30.0,7.065644615,6.964979882,0.086204621,0.000708996,0.011530120,False,PRODUCTION_ANALYZER
10b5b3efaf7965446d0a8100a463e98c7683e2e52d96d1b1714a7aade1c9244e,c2cc297330e2122a7f0486807c52e3ea7335fc0aa753a077db5039e322fd883b,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,1267133459,4,10,3/10,1,constrained,CW_THETA_CW,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,7,10,8,7,0,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_CHECKED,0,False,f586ab875fcfe331d2c6b0d99e83bf0983d76f5edade42a47afe3f1d5dce3d29,1,30.0,2.963281619,2.844418059,0.093346053,0.000463720,0.011741963,False,PRODUCTION_ANALYZER
1912d6698992b9854c40537fa1ef0e60816fe8c180eca01c34932f69d9b1404c,ac4d51cc997ff17a41875e0fe4e3da695a79e63b65517f6adf434659c0b9aa45,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,1267133459,4,10,3/10,21473099401200000281/200000000000000000000,constrained,CW_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,7,10,8,7,0,,a24604d2031a9d9fa419c8ae73d855d1c25a325724a600595f961d5ce256f560,,NOT_CHECKED,ACTIVE,NOT_CHECKED,0,False,2c3536b3b74dc6b5da888a305a7101b0ac838a2e254d246c04fee8ce3790a787,1,30.0,3.016838027,2.905011251,0.089897374,0.000655415,0.010528781,False,PRODUCTION_ANALYZER
1e5c6ed447885b82eeebe3325bfe2206a03f7cec7967b917c60cf1718b1b1863,a8e7b80de1e535e66016c5e86e27bfdf5855bcb2678bcea25187898065a6a2fb,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,1267133459,4,10,3/10,1,constrained,CW_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,7,10,8,7,0,,a24604d2031a9d9fa419c8ae73d855d1c25a325724a600595f961d5ce256f560,,NOT_CHECKED,ACTIVE,NOT_CHECKED,0,False,4bf77e42a357245d23e98ccea00c33c3408b1ec706a503004b9ed4ccce5fc576,1,30.0,3.019844634,2.918582121,0.086351161,0.000712623,0.011896876,False,PRODUCTION_ANALYZER
2ea911229c46497e6ad80f512f0ae56e8286b537fc6eae0b88b152b520cfd78d,d742b80f3746979a09f27fecc6c2bd89fd8b4bdd11e6e394342e0319fc348ab7,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,1,constrained,LOC_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,9,10,10,9,0,,9814c27c0d0d386f43ca6b97e0d7521fe017a6f03372d53c1f52092b88dee94f,,NOT_CHECKED,ACTIVE,NOT_CHECKED,0,False,fd05b4b71ba609b64120be30ce0a3c6204100e0b460ed57942c9f27559e1c231,1,30.0,7.048196989,6.942486652,0.086720175,0.000804908,0.010381243,False,PRODUCTION_ANALYZER
30b628fa476a8a7cd31aa399d642ca34c1c05e0d5e8ba53a3ddd4daffd8aa8e2,578eecc4a1ded6fc465573640d31632921c12a8277de889f576ccd43d4af36d2,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,1267133459,4,10,3/10,1,constrained,LOC_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,7,10,8,7,0,,a24604d2031a9d9fa419c8ae73d855d1c25a325724a600595f961d5ce256f560,,NOT_CHECKED,ACTIVE,NOT_CHECKED,0,False,f4ce5a9e43ba4294a66a36acbb048605e54ef8476dd3ef6249341bfb6a6e1273,1,30.0,3.048375035,2.942642278,0.091634987,0.000596343,0.010549145,False,PRODUCTION_ANALYZER
38b17fa328801189b5e8a8f44eb4ad09db458ca2d4ce1cf92505cfed48cd2044,725ed2c50eb6fad1ee80433af02ce4cf21ddb275154d525943891758ddc07194,79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,1241746954,4,10,1/5,1,constrained,CW_THETA_CW,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,d157a1c09d7cc9d517ab5fdfa6d45dfcc579d42c271579cb3e99a24e4bfe50a0,1,30.0,0.537921262,0.428376577,0.087641296,0.000491613,0.010976644,False,PRODUCTION_ANALYZER
