phase,cell_id,utilization,exact_e0,taskset_id,relation,task_id,priority_rank,complete_solver_status,local_solver_status,complete_certification_status,local_certification_status,complete_candidate,local_candidate,response_relation,response_reduction,strict_response,local_only_candidate,certification_gain,diagnostic_status,strict_envelope_count,local_only_closure_count
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,0,0,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,5,5,EQUAL,0,False,False,False,TRACED_COMPLETE,0,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,1,1,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,4,4,EQUAL,0,False,False,False,TRACED_COMPLETE,0,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,2,2,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,22,22,EQUAL,0,False,False,False,TRACED_COMPLETE,0,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,3,3,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,5,5,EQUAL,0,False,False,False,TRACED_COMPLETE,0,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,15,15,EQUAL,0,False,False,False,TRACED_COMPLETE,0,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,5,5,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,31,31,EQUAL,0,False,False,False,TRACED_COMPLETE,0,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,6,6,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,19,19,EQUAL,0,False,False,False,TRACED_COMPLETE,0,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,7,7,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,51,51,EQUAL,0,False,False,False,TRACED_COMPLETE,40,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,8,8,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,117,117,EQUAL,0,False,False,False,TRACED_COMPLETE,111,0
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,9,9,CANDIDATE_FOUND,CANDIDATE_FOUND,CERTIFIED,CERTIFIED,42,42,EQUAL,0,False,False,False,TRACED_COMPLETE,31,0
