taskset_id,U_norm,E0,relation,task_id,priority_rank,complete_candidate,local_candidate,improvement,status,common_task_count,tighter_count,equal_count,violation_count,maximum_improvement,mean_improvement
v93-u0-e0-t00-ba6fa39928a7,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t00-ba6fa39928a7,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t00-ba6fa39928a7,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t01-c1c7923b4577,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t01-c1c7923b4577,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t01-c1c7923b4577,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t02-f9923e163823,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t02-f9923e163823,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t02-f9923e163823,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t04-2fe262efcc3c,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t04-2fe262efcc3c,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t04-2fe262efcc3c,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t05-c0a787fff951,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t05-c0a787fff951,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t05-c0a787fff951,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t06-31157518f037,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t06-31157518f037,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t06-31157518f037,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t07-8539441f9c62,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t07-8539441f9c62,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t07-8539441f9c62,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t09-6ba3650dc497,0.2,0,DEADLINE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t09-6ba3650dc497,0.2,0,FIXED_CW_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e0-t09-6ba3650dc497,0.2,0,RECURSIVE_CARRY_IN,,,,,,NOT_APPLICABLE,0,0,0,0,,
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,0,0,4,4,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,1,1,1,1,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,2,2,2,2,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,3,3,6,6,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,4,4,13,13,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,5,5,17,17,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,6,6,31,31,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,7,7,32,32,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,8,8,36,36,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,DEADLINE_CARRY_IN,9,9,71,71,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,0,0,4,4,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,1,1,1,1,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,2,2,2,2,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,3,3,6,6,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,4,4,12,12,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,5,5,14,14,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,6,6,24,24,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,7,7,20,20,0,EQUAL,10,0,10,0,0,0
v93-u0-e1-t00-f8b4c71f0699,0.2,1,FIXED_CW_CARRY_IN,8,8,21,21,0,EQUAL,10,0,10,0,0,0
