generation_seed,taskset_id,U_norm,actual_total_utilization,E0,analysis_variant,method_role,solver_status,certification_status,taskset_proven,first_failed_priority,task_count,candidate_found_task_count,certified_task_count,wall_clock_runtime_seconds,cpu_runtime_seconds,timeout,numeric_error,internal_conformance_failure,dependency_status,dominance_status,fixed_carry_in_interface_status,source_analysis_id,source_vector_hash,target_carry_in_vector_hash,analysis_id,schema_serialized,service_curve_status
2135230414,v93-u0-e0-t00-ba6fa39928a7,0.2,894361492561/1116331102260,0,CW_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.195616076,0.191430875,False,False,False,NOT_CHECKED,NOT_CHECKED,ACTIVE,,740e10ed758d263417daf667a4bcd964da87aea7fc9a860f84f211eef1daa0e4,,e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,True,VALID
2135230414,v93-u0-e0-t00-ba6fa39928a7,0.2,894361492561/1116331102260,0,LOC_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.205155590,0.200303473,False,False,False,NOT_CHECKED,NOT_CHECKED,ACTIVE,,740e10ed758d263417daf667a4bcd964da87aea7fc9a860f84f211eef1daa0e4,,e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,True,VALID
2135230414,v93-u0-e0-t00-ba6fa39928a7,0.2,894361492561/1116331102260,0,CW_THETA_CW,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.204499539,0.198202790,False,False,False,NOT_CHECKED,NOT_CHECKED,NOT_APPLICABLE,,,,aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,True,VALID
2135230414,v93-u0-e0-t00-ba6fa39928a7,0.2,894361492561/1116331102260,0,LOC_THETA_CW,AUXILIARY_ABLATION,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,False,,10,0,0,0.004923581,0.001400190,False,False,False,INVALID,NOT_APPLICABLE,ACTIVE,aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,,,39ab14e2b0dafdfd47dd4752bad8936394e42ec35d0a45d2ee17dc164e1dacfc,True,VALID
2135230414,v93-u0-e0-t00-ba6fa39928a7,0.2,894361492561/1116331102260,0,LOC_THETA_LOC,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.204485624,0.200379598,False,False,False,NOT_CHECKED,NOT_CHECKED,NOT_APPLICABLE,,,,ffc26672fee8bfa9aef129ad0cafc88321c1e178aa4d0d6f643130022d34a984,True,VALID
254525744,v93-u0-e0-t01-c1c7923b4577,0.2,2397727986958787/2995001494169520,0,CW_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.227061572,0.222063125,False,False,False,NOT_CHECKED,NOT_CHECKED,ACTIVE,,8beb262367f9df247536bbadf7eca153a663f1ed94038b8b21ae8846b812d25f,,160a3f2665270b86ad177d192ce8f7a9c0a02f2e0457dc7640d7e00ec8b5d622,True,VALID
254525744,v93-u0-e0-t01-c1c7923b4577,0.2,2397727986958787/2995001494169520,0,LOC_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.227746202,0.223233127,False,False,False,NOT_CHECKED,NOT_CHECKED,ACTIVE,,8beb262367f9df247536bbadf7eca153a663f1ed94038b8b21ae8846b812d25f,,d839cf4c8597182dae680f346a2ddc2aafb9ed1e60658fa1b1be96f751df3a17,True,VALID
254525744,v93-u0-e0-t01-c1c7923b4577,0.2,2397727986958787/2995001494169520,0,CW_THETA_CW,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.233790455,0.229961418,False,False,False,NOT_CHECKED,NOT_CHECKED,NOT_APPLICABLE,,,,3a5aad3ee19794ff87f1621e72e9f3167ceea9c33dafcf2ac9b9ccb90038021e,True,VALID
254525744,v93-u0-e0-t01-c1c7923b4577,0.2,2397727986958787/2995001494169520,0,LOC_THETA_CW,AUXILIARY_ABLATION,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,False,,10,0,0,0.006892416,0.002283828,False,False,False,INVALID,NOT_APPLICABLE,ACTIVE,3a5aad3ee19794ff87f1621e72e9f3167ceea9c33dafcf2ac9b9ccb90038021e,,,a3689d3b8a17cbf012c4894441cc5e1dd76a6f69ae0aa9d213fea627eb8ae7d9,True,VALID
254525744,v93-u0-e0-t01-c1c7923b4577,0.2,2397727986958787/2995001494169520,0,LOC_THETA_LOC,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,0,10,0,0,0.228023368,0.224047765,False,False,False,NOT_CHECKED,NOT_CHECKED,NOT_APPLICABLE,,,,8c51bb721c5822b9b5256234e3f2122a8043fa4aad5e3f265be94749f95981d6,True,VALID
