phase,structure,cell_id,U_norm,taskset_id,relation,task_id,priority_rank,complete_candidate,local_candidate,improvement,status,envelope_common_count,envelope_strict_count,envelope_equal_count,envelope_violation_count,local_only_closure_count,q_plus_h_equals_w_count
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,0,0,24,24,0,EQUAL,24,0,24,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,1,1,2,2,0,EQUAL,2,0,2,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,2,2,4,4,0,EQUAL,4,0,4,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,3,3,13,13,0,EQUAL,13,0,13,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,4,4,8,8,0,EQUAL,8,0,8,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,5,5,20,20,0,EQUAL,20,0,20,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,6,6,38,38,0,EQUAL,38,0,38,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,7,7,50,50,0,EQUAL,50,0,50,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,8,8,68,68,0,EQUAL,68,0,68,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,DEADLINE_CARRY_IN,9,9,115,115,0,EQUAL,115,99,16,0,0,1
