candidate_id,exact_e0,numerator,denominator,origins,covered_intervals,covered_tasksets,covered_tasks,covered_relations,covered_variants,covered_U_0_4_intervals,covered_U_0_4_tasksets,covered_U_0_6_intervals,covered_U_0_6_tasksets,representation_cost,minimum_distance_to_selected,selected,selection_rank
E0C00000,0,0,1,CONTROL,0,0,0,0,0,0,0,0,0,2,,True,0
E0C00001,4854187462500000283/1000000000000000000000,4854187462500000283,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,1,1,1,1,2,0,0,1,1,41,,False,
E0C00002,9709499940000000503/2000000000000000000000,9709499940000000503,2000000000000000000000,INTERVAL_MIDPOINT,1,1,1,1,2,0,0,1,1,41,,False,
E0C00003,10219874925000000561/2000000000000000000000,10219874925000000561,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,2,1,1,1,2,0,0,2,1,42,,False,
E0C00004,21460499814000001239/4000000000000000000000,21460499814000001239,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,1,1,1,1,2,0,0,1,1,42,,False,
E0C00005,5620874955000000307/1000000000000000000000,5620874955000000307,1000000000000000000000,INTERVAL_MIDPOINT,2,1,1,1,2,0,0,2,1,41,,False,
E0C00006,23499749706000001581/4000000000000000000000,23499749706000001581,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,2,1,1,1,2,0,0,2,1,42,,False,
E0C00007,6131249935500000361/1000000000000000000000,6131249935500000361,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,3,1,1,1,2,0,0,3,1,41,,False,
E0C00008,510914993880000031/80000000000000000000,510914993880000031,80000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,2,1,1,1,2,0,0,2,1,38,,False,
E0C00009,6386999937000000363/1000000000000000000000,6386999937000000363,1000000000000000000000,INTERVAL_MIDPOINT,2,1,1,1,2,0,0,2,1,41,,False,
E0C00010,6895687378500000499/1000000000000000000000,6895687378500000499,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,3,1,1,1,2,0,0,3,1,41,,False,
E0C00011,28610249604000001761/4000000000000000000000,28610249604000001761,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,4,1,1,1,2,0,0,4,1,42,,False,
E0C00012,715312491600000041/100000000000000000000,715312491600000041,100000000000000000000,INTERVAL_MIDPOINT,4,1,1,1,2,0,0,4,1,39,,False,
E0C00013,29630999544000001871/4000000000000000000000,29630999544000001871,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,3,1,1,1,2,0,0,3,1,42,,False,
E0C00014,77354999130000002887/10000000000000000000000,77354999130000002887,10000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,4,1,1,1,2,0,0,4,1,43,,False,
E0C00015,39397499954999999987/5000000000000000000000,39397499954999999987,5000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE;INTERVAL_MIDPOINT,5,2,2,1,2,1,1,4,1,42,,False,
E0C00016,15838499784000000921/2000000000000000000000,15838499784000000921,2000000000000000000000,INTERVAL_MIDPOINT,5,2,2,1,2,1,1,4,1,42,,False,
E0C00017,80604373965000003157/10000000000000000000000,80604373965000003157,10000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,4,1,1,1,2,0,0,4,1,43,,False,
E0C00018,8173874859000000517/1000000000000000000000,8173874859000000517,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,5,1,1,1,2,0,0,5,1,41,,False,
E0C00019,1685812468200000109/200000000000000000000,1685812468200000109,200000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,4,1,1,1,2,0,0,4,1,40,,False,
E0C00020,868537486500000051/100000000000000000000,868537486500000051,100000000000000000000,INTERVAL_MIDPOINT,5,1,1,1,2,0,0,5,1,39,,False,
E0C00021,8937187246500000719/1000000000000000000000,8937187246500000719,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,5,1,1,1,2,0,0,5,1,41,,False,
E0C00022,4597593654750000299/500000000000000000000,4597593654750000299,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,6,1,1,1,2,0,0,6,1,40,,False,
E0C00023,1839149967000000113/200000000000000000000,1839149967000000113,200000000000000000000,INTERVAL_MIDPOINT,6,1,1,1,2,0,0,6,1,40,,False,
E0C00024,3745424974800000129/400000000000000000000,3745424974800000129,400000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,5,1,1,1,2,0,0,5,1,40,,False,
E0C00025,4807968666750000251/500000000000000000000,4807968666750000251,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,6,2,2,2,4,0,0,5,1,40,,False,
