interval_id,relation,taskset_id,U_norm,source_E0,task_id,priority_rank,w,h,q,complete_envelope,local_envelope,service_value_without_e0,lower_bound_inclusive,upper_bound_exclusive,midpoint
I0000,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,25,69471/1000000,138663/2000000,270009/10000000000,693044991/10000000000,694439991/10000000000,693742491/10000000000
I0001,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,26,28737/400000,71703/1000000,28125975000000003/1000000000000000000000,71674874024999999997/1000000000000000000000,71814374024999999997/1000000000000000000000,71744624024999999997/1000000000000000000000
I0002,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,27,37107/500000,148149/2000000,29251053000000007/1000000000000000000000,74045248946999999993/1000000000000000000000,74184748946999999993/1000000000000000000000,74114998946999999993/1000000000000000000000
I0003,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,28,153171/2000000,38223/500000,6075226800000001/200000000000000000000,15283124773199999999/200000000000000000000,15311024773199999999/200000000000000000000,15297074773199999999/200000000000000000000
I0004,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,29,78957/1000000,31527/400000,6300243600000001/200000000000000000000,15757199756399999999/200000000000000000000,15785099756399999999/200000000000000000000,15771149756399999999/200000000000000000000
I0005,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,30,162657/2000000,81189/1000000,32626305000000003/1000000000000000000000,81156373694999999997/1000000000000000000000,81295873694999999997/1000000000000000000000,81226123694999999997/1000000000000000000000
I0006,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,31,837/10000,167121/2000000,8437848749999999/250000000000000000000,20881687151250000001/250000000000000000000,20916562151250000001/250000000000000000000,20899124651250000001/250000000000000000000
I0007,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,32,17112000000000000001/200000000000000000000,8490900000000000001/100000000000000000000,4359561/125000000000,8487412351200000001/100000000000000000000,17105024702400000001/200000000000000000000,34079849404800000003/400000000000000000000
I0008,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,33,4319850000000000001/50000000000000000000,3429840000000000001/40000000000000000000,2250099/62500000000,3428399936640000001/40000000000000000000,4318049920800000001/50000000000000000000,34414199366400000009/400000000000000000000
I0009,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,34,17446800000000000007/200000000000000000000,2164575000000000001/25000000000000000000,37126683/1000000000000,2163646832925000001/25000000000000000000,17439374663400000007/200000000000000000000,6949709865360000003/80000000000000000000
I0010,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,35,1761420000000000001/20000000000000000000,17484000000000000011/200000000000000000000,9562946250000001/250000000000000000000,87381748215000000051/1000000000000000000000,44016374107500000023/500000000000000000000,175414496430000000097/2000000000000000000000
I0011,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,36,17781600000000000013/200000000000000000000,8825700000000000007/100000000000000000000,7875378000000001/200000000000000000000,17643524622000000013/200000000000000000000,4443431155500000003/50000000000000000000,1416689969760000001/16000000000000000000
I0012,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,37,17818800000000000017/200000000000000000000,8844300000000000009/100000000000000000000,20250999/500000000000,8840249800200000009/100000000000000000000,17810699600400000017/200000000000000000000,7098239840160000007/80000000000000000000
I0013,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,38,17856000000000000021/200000000000000000000,8862900000000000011/100000000000000000000,41627109/1000000000000,8858737289100000011/100000000000000000000,17847674578200000021/200000000000000000000,35565149156400000043/400000000000000000000
I0014,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,39,715728000000000001/8000000000000000000,8881500000000000013/100000000000000000000,42752222999999997/1000000000000000000000,88772247777000000133/1000000000000000000000,698619123257812501/7812500000000000000,178195495554000000261/2000000000000000000000
I0015,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,40,17930400000000000029/200000000000000000000,1780020000000000003/20000000000000000000,4387733999999999/100000000000000000000,555982016625000001/6250000000000000000,17921624532000000031/200000000000000000000,35713049064000000063/400000000000000000000
I0016,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,41,17967600000000000033/200000000000000000000,8918700000000000017/100000000000000000000,2250123/50000000000,8914199754000000017/100000000000000000000,17958599508000000033/200000000000000000000,35786999016000000067/400000000000000000000
