phase,cell_id,U_norm,taskset_index,generation_seed,taskset_id,exact_e0,e0_index,request_id,analysis_id,analysis_variant,initial_solver_status,retry_solver_status,final_solver_status,certification_status,taskset_proven,first_failed_priority,candidate_vector,task_status_vector,candidate_found_task_count,certified_task_count,checked_w_count,checked_h_count,checked_q_count,envelope_calls,worker_startup_seconds,solver_wall_seconds,solver_cpu_seconds,serialization_seconds,deserialization_seconds,transport_and_exit_seconds,total_wall_seconds,timeout,numeric_error,internal_error,not_applicable,dependency_status,dominance_status,source_vector_hash,target_carry_in_vector_hash,task_input_hash
SCREENING,U0.4-E0=0,0.4,0,1593532496,v93-p3-screening-u0-t00-54c35eaa9f43,0,0,5885e951536e9e1acc2d6c5cfbecc5331667120c4b4a8189898872b1f00e6c50,3136fc5e75ca5ec4dd8b987bc27f38b80cf9905d02f3e660e1747f43294e0dbd,CW_D,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,40,820,820,820,0.002620282,0.160638045,0.160607362,0.000285021,0.000401062,0.001564477,0.165508887,False,False,False,False,NOT_CHECKED,NOT_CHECKED,e3bc7a774bf76c9a2c29bdc95e127169edd9a5d825aa71dde1639f330bb7d2ad,,5be92f155a38c803d293d7d0d5ad42f2dfea56499aa9f6161decb29780c25675
SCREENING,U0.4-E0=0,0.4,0,1593532496,v93-p3-screening-u0-t00-54c35eaa9f43,0,0,63319903ce4748c186f64a86935b1e5b5ad9dcfcd38f2317c19f7cfa55437774,3a6744241f1b176826280d2d4f16fd1d5624e613d1e250e039b43e626d10fbca,LOC_D,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,40,820,820,820,0.002004442,0.162152352,0.162146799,0.000256828,0.000295051,0.001615211,0.166323884,False,False,False,False,NOT_CHECKED,NOT_CHECKED,e3bc7a774bf76c9a2c29bdc95e127169edd9a5d825aa71dde1639f330bb7d2ad,,5be92f155a38c803d293d7d0d5ad42f2dfea56499aa9f6161decb29780c25675
SCREENING,U0.4-E0=0,0.4,0,1593532496,v93-p3-screening-u0-t00-54c35eaa9f43,0,0,186f69e154086e686e4216afd713dba27fe37ac663c93279198a7e3906f54530,faf222e5b35c151c7d97589cdf5253a4b8300ef785e1cf4a9b12306beca73fe3,CW_THETA_CW,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,40,820,820,820,0.002288301,0.160039248,0.160035387,0.000254634,0.000363100,0.001518252,0.164463535,False,False,False,False,NOT_CHECKED,NOT_CHECKED,,,5be92f155a38c803d293d7d0d5ad42f2dfea56499aa9f6161decb29780c25675
SCREENING,U0.4-E0=0,0.4,0,1593532496,v93-p3-screening-u0-t00-54c35eaa9f43,0,0,da0d26b23cd04e29a4c261f646f6b53c4dc8561459d76fc3e83f5250a469649d,88f05277089cff847c5ecd19a1534c86fff55c1d3b67a8a4714e7209d8b05086,LOC_THETA_CW,NOT_APPLICABLE_DEPENDENCY,,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,False,,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""1"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""2"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""3"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""4"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""5"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""6"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""7"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""8"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""9"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""]]",0,0,0,0,0,0,0.002410554,0.001785982,0.001783127,0.000209578,0.000332301,0.001101472,0.005839887,False,False,False,True,INVALID,NOT_APPLICABLE,,,5be92f155a38c803d293d7d0d5ad42f2dfea56499aa9f6161decb29780c25675
SCREENING,U0.4-E0=0,0.4,0,1593532496,v93-p3-screening-u0-t00-54c35eaa9f43,0,0,bd60479c783bd74d8e2a87bc802293645f8c6d75d17f5fb6dc1fc9505cdbb03f,fe53cd94cd10614e5bb2d83e6bf74dc5a3da0bcfe49b9acd75ffa1eb590c43ee,LOC_THETA_LOC,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,40,820,820,820,0.002432986,0.162074352,0.162041197,0.000265294,0.000566926,0.001388028,0.166727586,False,False,False,False,NOT_CHECKED,NOT_CHECKED,,,5be92f155a38c803d293d7d0d5ad42f2dfea56499aa9f6161decb29780c25675
SCREENING,U0.4-E0=0,0.4,1,475610821,v93-p3-screening-u0-t01-c29599608520,0,0,3cf02021b5fed9c0e018b74749ad875f91b6357dc24e71a4b00b9bb36fb20e62,ec6514ffc34c6185fed734700bc52670d37ed4cb2c58fb727d11698c1acb5625,CW_D,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,33,561,561,561,0.002528523,0.112606190,0.112597565,0.000281745,0.000416962,0.001501115,0.117334535,False,False,False,False,NOT_CHECKED,NOT_CHECKED,b55f58630db142d855f2bb81776c972d6b4f646de9e3aecb7753fff384ca335a,,cfaa1349937b3bda248a60157e80f31b466297a1b81bb1b9eef547a362e11b6e
SCREENING,U0.4-E0=0,0.4,1,475610821,v93-p3-screening-u0-t01-c29599608520,0,0,efd3902ad13eccb05b54b3de21014635972498b5906b08e30d18b49356522b61,74d030ab10b534a5145f12103fbb7abe2b0146a244a0eeecedf7815d11f99026,LOC_D,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,33,561,561,561,0.002188612,0.115755109,0.115745855,0.000254413,0.000538263,0.002159838,0.120896235,False,False,False,False,NOT_CHECKED,NOT_CHECKED,b55f58630db142d855f2bb81776c972d6b4f646de9e3aecb7753fff384ca335a,,cfaa1349937b3bda248a60157e80f31b466297a1b81bb1b9eef547a362e11b6e
SCREENING,U0.4-E0=0,0.4,1,475610821,v93-p3-screening-u0-t01-c29599608520,0,0,f2637611db2d103e13dd93c789815a4292bb884c1484bd1b809ded92d4cc4e25,577d69309093955c0c5b88ab4eae4dd4aa3597bdfe781affc03d690bc8244496,CW_THETA_CW,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,33,561,561,561,0.002427866,0.111980823,0.111971007,0.000276966,0.000288277,0.001546502,0.116520434,False,False,False,False,NOT_CHECKED,NOT_CHECKED,,,cfaa1349937b3bda248a60157e80f31b466297a1b81bb1b9eef547a362e11b6e
SCREENING,U0.4-E0=0,0.4,1,475610821,v93-p3-screening-u0-t01-c29599608520,0,0,ed7bcb45ce95c07b87332a5fdca775bac8402f4de6b22aabe342dee8d1c71a3f,7cc5963195e1ac25cd9211e14906c854a7951600901e9e67b9555836339c8186,LOC_THETA_CW,NOT_APPLICABLE_DEPENDENCY,,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,False,,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""1"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""2"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""3"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""4"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""5"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""6"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""7"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""8"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""],[""9"",""NOT_APPLICABLE_DEPENDENCY"",""NOT_APPLICABLE""]]",0,0,0,0,0,0,0.002217807,0.001462598,0.001455153,0.000215880,0.000261126,0.001222597,0.005380008,False,False,False,True,INVALID,NOT_APPLICABLE,,,cfaa1349937b3bda248a60157e80f31b466297a1b81bb1b9eef547a362e11b6e
SCREENING,U0.4-E0=0,0.4,1,475610821,v93-p3-screening-u0-t01-c29599608520,0,0,373f9b03ed5c232efffc8611daa3404ae0d2fce014f1a622d56ae3fd5b11039f,903133108c2da929e588e3036d004e002d44d5602d7c1050c542adca0f64b3fa,LOC_THETA_LOC,NO_CANDIDATE,,NO_CANDIDATE,NOT_CERTIFIED,False,0,"[[""0"",null],[""1"",null],[""2"",null],[""3"",null],[""4"",null],[""5"",null],[""6"",null],[""7"",null],[""8"",null],[""9"",null]]","[[""0"",""NO_CANDIDATE"",""NOT_CERTIFIED""],[""1"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""2"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""3"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""4"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""5"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""6"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""7"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""8"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""],[""9"",""NOT_EVALUATED_AFTER_PREFIX_FAILURE"",""NOT_APPLICABLE""]]",0,0,33,561,561,561,0.002188361,0.113890235,0.113881500,0.000270614,0.000395792,0.001503128,0.118248130,False,False,False,False,NOT_CHECKED,NOT_CHECKED,,,cfaa1349937b3bda248a60157e80f31b466297a1b81bb1b9eef547a362e11b6e
