cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,status
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,0,0,4,4,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,1,1,3,3,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,2,2,10,10,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,3,3,10,10,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,4,4,9,9,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,5,5,12,12,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,6,6,31,31,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,7,7,13,13,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,8,8,18,18,0,EQUAL
4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,9,9,31,31,0,EQUAL
