simulation_id,cell_id,taskset_id,taskset_hash,exact_e0,task_id,observed_jobs,completed_jobs,missed_jobs,censored_jobs,r_sim_max,horizon_coverage,minimum_jobs_satisfied,tightness_eligible,censoring_label
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,0,5,5,0,0,8,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,1,5,5,0,0,4,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,2,5,5,0,0,3,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,3,4,4,0,0,3,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,4,4,4,0,0,18,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,5,3,3,0,0,7,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,6,3,3,0,0,3,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,7,3,3,0,0,5,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,8,2,2,0,0,10,1.0,True,True,OBSERVED
e70478d4e900326073533bdf446f10ffd666b77000bc1dc478c893169cfcc069,1481d7afaf65916278b43b34ab2be1c1a86210a3d1aa7cf179e81d0e6e09cebe,v93-131fd46ea7-t00000-b9ce38c4b1cc,b9ce38c4b1ccf3d985e9889f533b95385da5788a667ca1dffb2e7cd4562045f1,1,9,2,2,0,0,21,1.0,True,True,OBSERVED
