plot,scaling_axis,level_id,level_value,worker_count,variant,metric,value
runtime,task_count,10,10,1,CW_THETA_CW,completed_median_seconds,0.13286453
runtime,task_count,10,10,1,CW_THETA_CW,completed_p95_seconds,0.13286453
peak_rss,task_count,10,10,1,CW_THETA_CW,peak_rss_max_kib,19748.0
search_counts,task_count,10,10,1,CW_THETA_CW,checked_w_total,39
timeout_rate,task_count,10,10,1,CW_THETA_CW,timeout_rate,0.0
throughput,task_count,10,10,1,CW_THETA_CW,throughput_analyses_per_second,1.4489015456922005
runtime,task_count,10,10,1,LOC_THETA_LOC,completed_median_seconds,0.136235159
runtime,task_count,10,10,1,LOC_THETA_LOC,completed_p95_seconds,0.136235159
peak_rss,task_count,10,10,1,LOC_THETA_LOC,peak_rss_max_kib,19616.0
search_counts,task_count,10,10,1,LOC_THETA_LOC,checked_w_total,39
timeout_rate,task_count,10,10,1,LOC_THETA_LOC,timeout_rate,0.0
throughput,task_count,10,10,1,LOC_THETA_LOC,throughput_analyses_per_second,1.4489015456922005
runtime,task_count,6,6,1,CW_THETA_CW,completed_median_seconds,0.13197336
runtime,task_count,6,6,1,CW_THETA_CW,completed_p95_seconds,0.13197336
peak_rss,task_count,6,6,1,CW_THETA_CW,peak_rss_max_kib,19584.0
search_counts,task_count,6,6,1,CW_THETA_CW,checked_w_total,45
timeout_rate,task_count,6,6,1,CW_THETA_CW,timeout_rate,0.0
throughput,task_count,6,6,1,CW_THETA_CW,throughput_analyses_per_second,1.4485694366890893
runtime,task_count,6,6,1,LOC_THETA_LOC,completed_median_seconds,0.129424386
runtime,task_count,6,6,1,LOC_THETA_LOC,completed_p95_seconds,0.129424386
peak_rss,task_count,6,6,1,LOC_THETA_LOC,peak_rss_max_kib,19524.0
search_counts,task_count,6,6,1,LOC_THETA_LOC,checked_w_total,45
timeout_rate,task_count,6,6,1,LOC_THETA_LOC,timeout_rate,0.0
throughput,task_count,6,6,1,LOC_THETA_LOC,throughput_analyses_per_second,1.4485694366890893
