plot,scheduler_id,timing_family,mechanism,paired_instance_id,category,x,y
response_time,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_block,ASAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.797906091,1
response_time,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_nonblock,ASAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.852929344,1
response_time,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_asap_sync,ASAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.835107124,1
response_time,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,169,1
energy_blocked_time,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1320,1
runtime,gpfp_alap_block,ALAP,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.825453413,1
response_time,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,169,1
energy_blocked_time,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1320,1
runtime,gpfp_alap_nonblock,ALAP,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.839143911,1
response_time,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,169,1
energy_blocked_time,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1320,1
runtime,gpfp_alap_sync,ALAP,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.850908115,1
response_time,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_block,ST,BLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,1.451925259,1
response_time,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_nonblock,ST,NONBLOCK,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.839330406,1
response_time,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,26,1
energy_blocked_time,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
processor_wait_time,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,0,1
runtime,gpfp_st_sync,ST,SYNC,2c122e31a159fdcbc0fe11cc1a78c7cf09e8133f4468dfb42be3f1d92394269b,SIM_PASS_OBSERVED,2.837619319,1
