-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 01/05/2026 in LST
Location: Latitude  41.7935   Longitude 123.4328 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 55.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2025,1,1,0,0.0,-9.31
2025,1,1,1,0.0,-10.08
2025,1,1,2,0.0,-10.8
2025,1,1,3,0.0,-11.44
2025,1,1,4,0.0,-12.02
2025,1,1,5,0.0,-12.5
2025,1,1,6,0.0,-12.86
2025,1,1,7,23.88,-12.8
2025,1,1,8,164.15,-10.27
2025,1,1,9,305.77,-8.0
2025,1,1,10,406.6,-5.27
2025,1,1,11,443.83,-3.22
2025,1,1,12,434.5,-2.13
2025,1,1,13,366.05,-1.36
2025,1,1,14,249.05,-1.2
2025,1,1,15,104.07,-2.84
2025,1,1,16,4.85,-4.69
2025,1,1,17,0.0,-5.46
2025,1,1,18,0.0,-6.39
2025,1,1,19,0.0,-7.41
2025,1,1,20,0.0,-8.37
2025,1,1,21,0.0,-9.25
2025,1,1,22,0.0,-10.09
2025,1,1,23,0.0,-10.86
2025,1,2,0,0.0,-11.58
2025,1,2,1,0.0,-12.24
2025,1,2,2,0.0,-12.88
2025,1,2,3,0.0,-13.47
2025,1,2,4,0.0,-13.98
2025,1,2,5,0.0,-14.35
2025,1,2,6,0.0,-14.6
2025,1,2,7,24.9,-14.39
2025,1,2,8,168.9,-11.81
2025,1,2,9,310.45,-9.57
2025,1,2,10,411.65,-6.33
2025,1,2,11,450.62,-3.62
2025,1,2,12,443.15,-2.73
2025,1,2,13,375.73,-2.44
2025,1,2,14,260.6,-2.67
2025,1,2,15,112.65,-4.59
2025,1,2,16,5.65,-7.52
2025,1,2,17,0.0,-8.57
2025,1,2,18,0.0,-9.26
2025,1,2,19,0.0,-9.85
2025,1,2,20,0.0,-10.38
2025,1,2,21,0.0,-10.9
2025,1,2,22,0.0,-11.53
2025,1,2,23,0.0,-12.34
